filename,frequency_hz,s21_db,s11_db,attenuation_db,impedance_ohm
sweep_01.s2p,300000.0,-0.1694,-32.8578,0.1694,67.5361
sweep_01.s2p,30298500.0,-0.4817,-18.6207,0.4817,42.3812
sweep_01.s2p,60297000.0,-0.7537,-16.059,0.7537,42.506
sweep_01.s2p,90295500.0,-0.8572,-21.4065,0.8572,45.2049
sweep_01.s2p,120294000.0,-0.9238,-24.8216,0.9238,58.1242
sweep_01.s2p,150292500.0,-1.1454,-16.3307,1.1454,32.3359
sweep_01.s2p,180291000.0,-1.273,-16.3105,1.273,41.4734
sweep_01.s2p,210289500.0,-1.3073,-23.6337,1.3073,47.3687
sweep_01.s2p,240288000.0,-1.4088,-20.1789,1.4088,57.7966
sweep_01.s2p,270286500.0,-1.5741,-15.607,1.5741,39.522
sweep_01.s2p,300285000.0,-1.6146,-17.3839,1.6146,39.7889
sweep_01.s2p,330283500.0,-1.6275,-24.1371,1.6275,49.9116
sweep_01.s2p,360282000.0,-1.7524,-17.6391,1.7524,58.1438
sweep_01.s2p,390280500.0,-1.9031,-15.6749,1.9031,71.3368
sweep_01.s2p,420279000.0,-1.8688,-19.5224,1.8688,40.4538
sweep_01.s2p,450277500.0,-1.8563,-21.0922,1.8563,54.1871
sweep_01.s2p,480276000.0,-2.0607,-16.3318,2.0607,59.1693
sweep_01.s2p,510274500.0,-2.1301,-17.1272,2.1301,60.7545
sweep_01.s2p,540273000.0,-2.0795,-21.3924,2.0795,57.1985
sweep_01.s2p,570271500.0,-2.2236,-17.3994,2.2236,63.6723
sweep_01.s2p,600270000.0,-2.3181,-15.8658,2.3181,60.3743
sweep_01.s2p,630268500.0,-2.323,-19.7083,2.323,55.0156
sweep_01.s2p,660267000.0,-2.3964,-19.4388,2.3964,46.0176
sweep_01.s2p,690265500.0,-2.5319,-15.5285,2.5319,44.546
sweep_01.s2p,720264000.0,-2.5492,-17.4326,2.5492,59.7644
sweep_01.s2p,750262500.0,-2.467,-21.9209,2.467,49.6109
sweep_01.s2p,780261000.0,-2.5983,-15.7416,2.5983,41.8898
sweep_01.s2p,810259500.0,-2.7915,-14.7601,2.7915,33.4489
sweep_01.s2p,840258000.0,-2.7346,-20.9856,2.7346,48.3101
sweep_01.s2p,870256500.0,-2.7828,-17.9475,2.7828,41.9943
sweep_01.s2p,900255000.0,-2.983,-13.3072,2.983,38.6249
sweep_01.s2p,930253500.0,-2.9855,-15.3394,2.9855,38.3992
sweep_01.s2p,960252000.0,-2.945,-21.0849,2.945,39.7896
sweep_01.s2p,990250500.0,-3.153,-13.3623,3.153,32.0167
sweep_01.s2p,1020249000.0,-3.2897,-11.887,3.2897,36.0723
sweep_01.s2p,1050247500.0,-3.1757,-16.8267,3.1757,42.6904
sweep_01.s2p,1080246000.0,-3.2627,-15.9558,3.2627,55.1627
sweep_01.s2p,1110244500.0,-3.5626,-10.8991,3.5626,29.0418
sweep_01.s2p,1140243000.0,-3.5414,-11.8202,3.5414,33.3884
sweep_01.s2p,1170241500.0,-3.3635,-16.8058,3.3635,47.595
sweep_01.s2p,1200240000.0,-3.586,-11.7804,3.586,64.2827
sweep_01.s2p,1230238500.0,-3.8032,-9.784,3.8032,67.9453
sweep_01.s2p,1260237000.0,-3.6297,-12.7731,3.6297,39.0101
sweep_01.s2p,1290235500.0,-3.6125,-14.6585,3.6125,56.2753
sweep_01.s2p,1320234000.0,-3.9563,-10.2864,3.9563,69.2189
sweep_01.s2p,1350232500.0,-3.9703,-10.4024,3.9703,77.9166
sweep_01.s2p,1380231000.0,-3.7582,-13.7818,3.7582,71.5438
sweep_01.s2p,1410229500.0,-3.9143,-11.4137,3.9143,69.1263
sweep_01.s2p,1440228000.0,-4.1447,-9.6399,4.1447,70.2978
sweep_01.s2p,1470226500.0,-3.9792,-12.1691,3.9792,64.383
sweep_01.s2p,1500225000.0,-3.9289,-13.3908,3.9289,51.9742
sweep_01.s2p,1530223500.0,-4.2123,-10.078,4.2123,55.975
sweep_01.s2p,1560222000.0,-4.1887,-10.8007,4.1887,66.5165
sweep_01.s2p,1590220500.0,-4.0509,-13.9074,4.0509,52.987
sweep_01.s2p,1620219000.0,-4.3236,-10.618,4.3236,41.8034
sweep_01.s2p,1650217500.0,-4.4857,-9.8524,4.4857,33.3894
sweep_01.s2p,1680216000.0,-4.2514,-13.9119,4.2514,45.573
sweep_01.s2p,1710214500.0,-4.3222,-12.7586,4.3222,41.7778
sweep_01.s2p,1740213000.0,-4.6657,-9.3892,4.6657,37.9068
sweep_01.s2p,1770211500.0,-4.5585,-11.2894,4.5585,37.2403
sweep_01.s2p,1800210000.0,-4.4846,-14.4046,4.4846,36.4107
sweep_01.s2p,1830208500.0,-4.996,-9.0363,4.996,31.7446
sweep_01.s2p,1860207000.0,-5.1977,-8.3343,5.1977,34.7813
sweep_01.s2p,1890205500.0,-4.821,-12.4496,4.821,41.2502
sweep_01.s2p,1920204000.0,-4.9535,-10.6824,4.9535,48.8888
sweep_01.s2p,1950202500.0,-5.465,-7.3722,5.465,28.6709
sweep_01.s2p,1980201000.0,-5.2812,-8.8163,5.2812,34.1705
sweep_01.s2p,2010199500.0,-5.0216,-11.8233,5.0216,50.613
sweep_01.s2p,2040198000.0,-5.6362,-7.5154,5.6362,69.8849
sweep_01.s2p,2070196500.0,-5.8752,-6.6896,5.8752,65.3296
sweep_01.s2p,2100195000.0,-5.3793,-9.3432,5.3793,46.9509
sweep_01.s2p,2130193500.0,-5.4697,-8.5867,5.4697,61.1822
sweep_01.s2p,2160192000.0,-5.9832,-6.1725,5.9832,72.8908
sweep_01.s2p,2190190500.0,-5.7414,-7.1174,5.7414,79.3022
sweep_01.s2p,2220189000.0,-5.4346,-8.9622,5.4346,72.2213
sweep_01.s2p,2250187500.0,-5.9462,-6.5508,5.9462,71.8653
sweep_01.s2p,2280186000.0,-6.1284,-6.0915,6.1284,72.9435
sweep_01.s2p,2310184500.0,-5.7136,-8.0566,5.7136,68.5393
sweep_01.s2p,2340183000.0,-5.8992,-7.4196,5.8992,59.1778
sweep_01.s2p,2370181500.0,-6.3056,-5.9957,6.3056,62.13
sweep_01.s2p,2400180000.0,-6.0031,-7.3382,6.0031,64.0622
sweep_01.s2p,2430178500.0,-5.8627,-8.5944,5.8627,53.3987
sweep_01.s2p,2460177000.0,-6.5045,-6.2436,6.5045,44.8511
sweep_01.s2p,2490175500.0,-6.5517,-6.4278,6.5517,40.1596
sweep_01.s2p,2520174000.0,-6.0603,-9.2107,6.0603,47.0127
sweep_01.s2p,2550172500.0,-6.4942,-7.1905,6.4942,46.285
sweep_01.s2p,2580171000.0,-6.9937,-5.7861,6.9937,43.886
sweep_01.s2p,2610169500.0,-6.5327,-7.9133,6.5327,43.1323
sweep_01.s2p,2640168000.0,-6.4861,-8.9249,6.4861,42.4207
sweep_01.s2p,2670166500.0,-7.352,-5.8544,7.352,40.2979
sweep_01.s2p,2700165000.0,-7.3266,-6.3358,7.3266,41.4293
sweep_01.s2p,2730163500.0,-6.7329,-9.5744,6.7329,45.7464
sweep_01.s2p,2760162000.0,-7.2983,-6.4549,7.2983,49.5213
sweep_01.s2p,2790160500.0,-7.7826,-4.9882,7.7826,37.367
sweep_01.s2p,2820159000.0,-7.1729,-6.8229,7.1729,41.4177
sweep_01.s2p,2850157500.0,-7.0398,-7.3545,7.0398,54.133
sweep_01.s2p,2880156000.0,-7.897,-4.7317,7.897,65.8102
sweep_01.s2p,2910154500.0,-7.8713,-4.9694,7.8713,69.9887
sweep_01.s2p,2940153000.0,-7.3147,-6.9417,7.3147,57.3645
sweep_01.s2p,2970151500.0,-8.0023,-5.1336,8.0023,60.0646
