tx_amp_mv,code,rep,locked,errors,status
410,109,137,1,0,ok
400,107,131,1,0,ok
390,106,125,1,0,ok
380,104,120,1,0,ok
370,102,114,1,0,ok
360,100,108,1,0,ok
350,98,103,1,0,ok
340,96,97,1,0,ok
330,94,91,1,0,ok
320,92,86,1,0,ok
310,91,80,1,0,ok
300,89,74,1,0,ok
290,87,68,1,0,ok
280,85,63,1,0,ok
270,83,57,1,0,ok
260,81,51,1,0,ok
250,79,46,1,0,ok
240,77,40,1,0,ok
230,76,34,1,0,ok
220,74,29,1,0,ok
210,72,23,1,0,ok
200,70,17,1,0,ok
190,68,12,1,0,ok
180,66,6,1,2,errors
