phase,vth,polarity,hits,errors
0,0,0,16718,0
0,0,1,16054,0
0,2,0,16675,0
0,2,1,16128,0
0,4,0,16657,0
0,4,1,16079,0
0,6,0,16703,0
0,6,1,16162,0
0,8,0,16673,1
0,8,1,16154,0
0,10,0,16626,45
0,10,1,16090,1
0,12,0,16672,295
0,12,1,16077,52
0,14,0,16588,1382
0,14,1,16101,352
0,16,0,16678,3286
0,16,1,16173,1528
0,18,0,16715,5386
0,18,1,15979,3492
0,20,0,16650,7286
0,20,1,16158,5841
0,22,0,16709,8449
0,22,1,16187,7819
0,24,0,16613,8823
0,24,1,16174,8709
0,26,0,16546,8938
0,26,1,16050,8917
0,28,0,16561,9390
0,28,1,16096,8964
0,30,0,16545,10877
0,30,1,16147,9537
0,32,0,16700,13251
0,32,1,16172,11207
0,34,0,16634,15023
0,34,1,16218,13315
0,36,0,16596,16166
0,36,1,15974,15061
0,38,0,16684,16650
0,38,1,16067,15889
0,40,0,16595,16594
0,40,1,16152,16151
0,42,0,16628,16628
0,42,1,16064,16064
0,44,0,16622,16622
0,44,1,16210,16210
0,46,0,16540,16540
0,46,1,16083,16083
0,48,0,16581,16581
0,48,1,16113,16113
0,50,0,16588,16588
0,50,1,16113,16113
0,52,0,16669,16669
0,52,1,16080,16080
0,54,0,16679,16679
0,54,1,16050,16050
0,56,0,16612,16612
0,56,1,15985,15985
0,58,0,16563,16563
0,58,1,16147,16147
0,60,0,16645,16645
0,60,1,16142,16142
0,62,0,16623,16623
0,62,1,16151,16151
2,0,0,16560,0
2,0,1,16046,0
2,2,0,16627,0
2,2,1,16152,0
2,4,0,16591,0
2,4,1,16024,0
2,6,0,16718,0
2,6,1,16190,0
2,8,0,16695,3
2,8,1,16136,0
2,10,0,16671,33
2,10,1,16122,3
2,12,0,16690,321
2,12,1,16160,32
2,14,0,16666,1303
2,14,1,16099,375
2,16,0,16700,3275
2,16,1,16130,1467
2,18,0,16586,5333
2,18,1,16137,3574
2,20,0,16701,7359
2,20,1,16102,5926
2,22,0,16717,8471
2,22,1,16215,7845
2,24,0,16638,8857
2,24,1,16022,8610
2,26,0,16650,8988
2,26,1,16113,8952
2,28,0,16553,9382
2,28,1,16149,9003
2,30,0,16631,10792
2,30,1,16057,9502
2,32,0,16727,13084
2,32,1,16091,11077
2,34,0,16582,14954
2,34,1,16145,13305
2,36,0,16609,16192
2,36,1,16091,15109
2,38,0,16661,16624
2,38,1,16141,16032
2,40,0,16637,16637
2,40,1,16069,16065
2,42,0,16673,16673
2,42,1,16192,16192
2,44,0,16544,16544
2,44,1,16061,16061
2,46,0,16592,16592
2,46,1,16083,16083
2,48,0,16626,16626
2,48,1,16145,16145
2,50,0,16579,16579
2,50,1,16142,16142
2,52,0,16580,16580
2,52,1,16090,16090
2,54,0,16717,16717
2,54,1,16037,16037
2,56,0,16522,16522
2,56,1,16134,16134
2,58,0,16653,16653
2,58,1,16092,16092
2,60,0,16603,16603
2,60,1,16120,16120
2,62,0,16553,16553
2,62,1,16093,16093
4,0,0,16639,0
4,0,1,16069,0
4,2,0,16471,0
4,2,1,16099,0
4,4,0,16697,0
4,4,1,16124,0
4,6,0,16688,0
4,6,1,16239,0
4,8,0,16807,1
