phase,vth,polarity,hits,errors
0,0,0,16313,0
0,0,1,16307,0
0,2,0,16360,0
0,2,1,16396,0
0,4,0,16364,0
0,4,1,16405,0
0,6,0,16410,0
0,6,1,16404,0
0,8,0,16440,0
0,8,1,16373,0
0,10,0,16365,0
0,10,1,16366,0
0,12,0,16392,0
0,12,1,16351,0
0,14,0,16388,0
0,14,1,16517,0
0,16,0,16326,30
0,16,1,16315,16
0,18,0,16395,248
0,18,1,16471,221
0,20,0,16250,886
0,20,1,16484,869
0,22,0,16446,2120
0,22,1,16433,2041
0,24,0,16384,3734
0,24,1,16437,3756
0,26,0,16359,6104
0,26,1,16449,5977
0,28,0,16420,8697
0,28,1,16443,8619
0,30,0,16314,11567
0,30,1,16456,11490
0,32,0,16422,13258
0,32,1,16279,12762
0,34,0,16263,14541
0,34,1,16344,14103
0,36,0,16335,15629
0,36,1,16340,15387
0,38,0,16396,16349
0,38,1,16503,16273
0,40,0,16379,16376
0,40,1,16389,16373
0,42,0,16423,16423
0,42,1,16342,16342
0,44,0,16281,16281
0,44,1,16398,16398
0,46,0,16333,16333
0,46,1,16281,16281
0,48,0,16358,16358
0,48,1,16377,16377
0,50,0,16270,16270
0,50,1,16398,16398
0,52,0,16346,16346
0,52,1,16331,16331
0,54,0,16306,16306
0,54,1,16274,16274
0,56,0,16340,16340
0,56,1,16355,16355
0,58,0,16399,16399
0,58,1,16287,16287
0,60,0,16365,16365
0,60,1,16251,16251
0,62,0,16286,16286
0,62,1,16313,16313
2,0,0,16347,0
2,0,1,16381,0
2,2,0,16297,0
2,2,1,16443,0
2,4,0,16325,0
2,4,1,16394,0
2,6,0,16392,0
2,6,1,16392,0
2,8,0,16402,0
2,8,1,16440,0
2,10,0,16355,0
2,10,1,16459,0
2,12,0,16466,0
2,12,1,16341,0
2,14,0,16350,3
2,14,1,16407,0
2,16,0,16462,48
2,16,1,16396,20
2,18,0,16345,267
2,18,1,16423,216
2,20,0,16469,906
2,20,1,16438,852
2,22,0,16365,2185
2,22,1,16527,2129
2,24,0,16305,3843
2,24,1,16334,3781
2,26,0,16420,6100
2,26,1,16485,6056
2,28,0,16423,8954
2,28,1,16384,8918
2,30,0,16333,11549
2,30,1,16304,10905
2,32,0,16291,12903
2,32,1,16315,12528
2,34,0,16420,14682
2,34,1,16331,14208
2,36,0,16306,15634
2,36,1,16371,15489
2,38,0,16387,16338
2,38,1,16389,16236
2,40,0,16340,16334
2,40,1,16250,16240
2,42,0,16213,16213
2,42,1,16281,16281
2,44,0,16352,16352
2,44,1,16372,16372
2,46,0,16285,16285
2,46,1,16341,16341
2,48,0,16329,16329
2,48,1,16357,16357
2,50,0,16269,16269
2,50,1,16458,16458
2,52,0,16460,16460
2,52,1,16444,16444
2,54,0,16260,16260
2,54,1,16301,16301
2,56,0,16310,16310
2,56,1,16262,16262
2,58,0,16390,16390
2,58,1,16345,16345
2,60,0,16437,16437
2,60,1,16405,16405
2,62,0,16260,16260
2,62,1,16332,16332
4,0,0,16344,0
4,0,1,16481,0
4,2,0,16406,0
4,2,1,16458,0
4,4,0,16393,0
4,4,1,16443,0
4,6,0,16303,0
4,6,1,16437,0
4,8,0,16526,0
4,8,1,16423,0
4,10,0,16362,0
4,10,1,16428,0
4,12,0,16314,0
4,12,1,16321,0
4,14,0,16284,0
4,14,1,16445,1
4,16,0,16377,51
4,16,1,16307,17
4,18,0,16243,267
4,18,1,16426,236
4,20,0,16308,1016
4,20,1,16359,919
4,22,0,16335,2402
4,22,1,16392,2340
4,24,0,16364,4122
4,24,1,16421,4302
4,26,0,16328,6220
4,26,1,16303,6368
4,28,0,16362,8859
4,28,1,16338,8872
4,30,0,16432,11137
4,30,1,16277,10557
4,32,0,16459,12820
4,32,1,16295,12228
4,34,0,16329,14483
4,34,1,16348,14020
