phase,vth,polarity,hits,errors
0,0,0,16386,0
0,0,1,16435,0
0,2,0,16326,0
0,2,1,16391,0
0,4,0,16447,0
0,4,1,16410,0
0,6,0,16313,0
0,6,1,16378,0
0,8,0,16474,0
0,8,1,16414,0
0,10,0,16335,2
0,10,1,16357,2
0,12,0,16298,30
0,12,1,16401,25
0,14,0,16382,152
0,14,1,16364,154
0,16,0,16328,518
0,16,1,16384,474
0,18,0,16204,1315
0,18,1,16457,1409
0,20,0,16281,2961
0,20,1,16416,3115
0,22,0,16397,5267
0,22,1,16496,5634
0,24,0,16366,7614
0,24,1,16380,7858
0,26,0,16399,10146
0,26,1,16401,10006
0,28,0,16385,12638
0,28,1,16402,12175
0,30,0,16351,14523
0,30,1,16402,14267
0,32,0,16394,15817
0,32,1,16265,15599
0,34,0,16400,16328
0,34,1,16309,16213
0,36,0,16336,16333
0,36,1,16271,16268
0,38,0,16222,16222
0,38,1,16273,16273
0,40,0,16327,16327
0,40,1,16433,16433
0,42,0,16420,16420
0,42,1,16399,16399
0,44,0,16447,16447
0,44,1,16397,16397
0,46,0,16435,16435
0,46,1,16403,16403
0,48,0,16335,16335
0,48,1,16333,16333
0,50,0,16365,16365
0,50,1,16287,16287
0,52,0,16376,16376
0,52,1,16323,16323
0,54,0,16296,16296
0,54,1,16305,16305
0,56,0,16335,16335
0,56,1,16330,16330
0,58,0,16306,16306
0,58,1,16274,16274
0,60,0,16377,16377
0,60,1,16396,16396
0,62,0,16321,16321
0,62,1,16416,16416
2,0,0,16302,0
2,0,1,16332,0
2,2,0,16408,0
2,2,1,16406,0
2,4,0,16405,0
2,4,1,16517,0
2,6,0,16372,0
2,6,1,16510,0
2,8,0,16391,1
2,8,1,16420,0
2,10,0,16364,5
2,10,1,16448,3
2,12,0,16386,21
2,12,1,16490,16
2,14,0,16324,140
2,14,1,16356,124
2,16,0,16373,506
2,16,1,16523,485
2,18,0,16408,1377
2,18,1,16433,1413
2,20,0,16319,3000
2,20,1,16464,3241
2,22,0,16423,5228
2,22,1,16401,5702
2,24,0,16266,7501
2,24,1,16343,7990
2,26,0,16334,10147
2,26,1,16442,10127
2,28,0,16280,12465
2,28,1,16358,12188
2,30,0,16476,14612
2,30,1,16284,14231
2,32,0,16382,15867
2,32,1,16329,15740
2,34,0,16320,16233
2,34,1,16356,16294
2,36,0,16379,16373
2,36,1,16271,16270
2,38,0,16359,16359
2,38,1,16382,16382
2,40,0,16379,16379
2,40,1,16356,16356
2,42,0,16375,16375
2,42,1,16355,16355
2,44,0,16435,16435
2,44,1,16438,16438
2,46,0,16424,16424
2,46,1,16324,16324
2,48,0,16300,16300
2,48,1,16242,16242
2,50,0,16333,16333
2,50,1,16250,16250
2,52,0,16365,16365
2,52,1,16398,16398
2,54,0,16398,16398
2,54,1,16316,16316
2,56,0,16441,16441
2,56,1,16303,16303
2,58,0,16353,16353
2,58,1,16309,16309
2,60,0,16336,16336
2,60,1,16354,16354
2,62,0,16301,16301
2,62,1,16399,16399
4,0,0,16278,0
4,0,1,16376,0
4,2,0,16445,0
4,2,1,16452,0
4,4,0,16334,0
4,4,1,16409,0
4,6,0,16360,0
4,6,1,16537,0
4,8,0,16403,1
4,8,1,16522,0
4,10,0,16339,4
4,10,1,16379,1
4,12,0,16288,35
4,12,1,16324,13
4,14,0,16381,162
4,14,1,16374,126
4,16,0,16356,519
4,16,1,16431,457
4,18,0,16360,1401
4,18,1,16374,1369
4,20,0,16328,3045
4,20,1,16540,3256
4,22,0,16306,5166
4,22,1,16475,5564
4,24,0,16400,7641
4,24,1,16396,7826
4,26,0,16342,10208
4,26,1,16466,10065
4,28,0,16371,12642
4,28,1,16310,12223
4,30,0,16329,14602
4,30,1,16385,14312
4,32,0,16369,15789
4,32,1,16208,15584
4,34,0,16364,16269
4,34,1,16390,16312
4,36,0,16358,16354
4,36,1,16332,16332
4,38,0,16292,16292
4,38,1,16410,16410
4,40,0,16425,16425
4,40,1,16333,16333
4,42,0,16355,16355
4,42,1,16347,16347
4,44,0,16406,16406
4,44,1,16433,16433
4,46,0,16354,16354
4,46,1,16297,16297
4,48,0,16362,16362
4,48,1,16312,16312
4,50,0,16349,16349
4,50,1,16334,16334
4,52,0,16291,16291
4,52,1,16315,16315
4,54,0,16318,16318
4,54,1,16372,16372
4,56,0,16320,16320
4,56,1,16260,16260
4,58,0,16385,16385
4,58,1,16349,16349
4,60,0,16351,16351
4,60,1,16345,16345
4,62,0,16317,16317
4,62,1,16416,16416
6,0,0,16360,0
6,0,1,16490,0
6,2,0,16424,0
6,2,1,16438,0
6,4,0,16460,0
6,4,1,16394,1
6,6,0,16388,0
6,6,1,16358,0
6,8,0,16324,0
6,8,1,16512,2
6,10,0,16348,6
6,10,1,16435,2
6,12,0,16429,36
6,12,1,16427,22
6,14,0,16385,141
6,14,1,16587,108
6,16,0,16380,497
6,16,1,16357,461
6,18,0,16290,1518
6,18,1,16326,1376
6,20,0,16452,3028
6,20,1,16478,3098
6,22,0,16297,5167
6,22,1,16434,5548
6,24,0,16342,7801
6,24,1,16431,7942
6,26,0,16276,10125
6,26,1,16377,10113
6,28,0,16350,12747
6,28,1,16325,12288
6,30,0,16315,14576
6,30,1,16380,14159
6,32,0,16413,15772
6,32,1,16218,15606
6,34,0,16313,16243
6,34,1,16446,16367
6,36,0,16345,16340
6,36,1,16397,16395
6,38,0,16253,16251
6,38,1,16278,16278
6,40,0,16325,16325
6,40,1,16454,16454
6,42,0,16277,16277
6,42,1,16384,16384
6,44,0,16312,16312
6,44,1,16317,16317
6,46,0,16385,16385
6,46,1,16330,16330
6,48,0,16396,16396
6,48,1,16390,16390
6,50,0,16309,16309
6,50,1,16430,16430
6,52,0,16274,16274
6,52,1,16421,16421
6,54,0,16412,16412
6,54,1,16377,16377
6,56,0,16368,16368
6,56,1,16334,16334
6,58,0,16311,16311
6,58,1,16395,16395
6,60,0,16347,16347
6,60,1,16332,16332
6,62,0,16272,16272
6,62,1,16361,16361
8,0,0,16367,0
8,0,1,16377,0
8,2,0,16401,0
8,2,1,16410,0
8,4,0,16432,0
8,4,1,16520,0
8,6,0,16262,1
8,6,1,16421,0
8,8,0,16210,0
8,8,1,16433,1
8,10,0,16340,8
8,10,1,16492,2
8,12,0,16426,41
8,12,1,16404,23
8,14,0,16362,161
8,14,1,16381,124
8,16,0,16356,550
8,16,1,16362,436
8,18,0,16401,1387
8,18,1,16388,1353
8,20,0,16364,2870
8,20,1,16372,3134
8,22,0,16331,5156
8,22,1,16374,5509
8,24,0,16297,7529
8,24,1,16390,7905
8,26,0,16301,10129
8,26,1,16362,10011
8,28,0,16282,12378
8,28,1,16463,12193
