filename,frequency_hz,s21_db,s11_db,attenuation_db,impedance_ohm
sweep_01.s2p,300000.0,-0.1424,-35.3996,0.1424,34.9703
sweep_01.s2p,30298500.0,-0.1463,-30.4625,0.1463,51.7794
sweep_01.s2p,60297000.0,-0.2355,-27.079,0.2355,48.6023
sweep_01.s2p,90295500.0,-0.3087,-24.6,0.3087,47.3749
sweep_01.s2p,120294000.0,-0.3805,-22.635,0.3805,46.7411
sweep_01.s2p,150292500.0,-0.4725,-21.647,0.4725,46.2673
sweep_01.s2p,180291000.0,-0.5291,-21.5208,0.5291,46.0296
sweep_01.s2p,210289500.0,-0.5859,-22.364,0.5859,46.1199
sweep_01.s2p,240288000.0,-0.611,-24.9948,0.611,46.7716
sweep_01.s2p,270286500.0,-0.6022,-31.5478,0.6022,48.3434
sweep_01.s2p,300285000.0,-0.7012,-32.0964,0.7012,50.9611
sweep_01.s2p,330283500.0,-0.7266,-23.1771,0.7266,56.0055
sweep_01.s2p,360282000.0,-0.7877,-19.1893,0.7877,66.8929
sweep_01.s2p,390280500.0,-0.8675,-17.3296,0.8675,71.1634
sweep_01.s2p,420279000.0,-0.8888,-17.3916,0.8888,21.5529
sweep_01.s2p,450277500.0,-0.8346,-18.7248,0.8346,31.7663
sweep_01.s2p,480276000.0,-0.8857,-23.9587,0.8857,43.1198
sweep_01.s2p,510274500.0,-0.9049,-36.523,0.9049,49.9432
sweep_01.s2p,540273000.0,-0.909,-22.6369,0.909,54.6429
sweep_01.s2p,570271500.0,-1.0107,-18.4556,1.0107,57.4659
sweep_01.s2p,600270000.0,-1.1007,-16.8763,1.1007,58.7053
sweep_01.s2p,630268500.0,-1.104,-17.3964,1.104,58.1323
sweep_01.s2p,660267000.0,-1.0836,-20.3155,1.0836,55.814
sweep_01.s2p,690265500.0,-1.0556,-28.9341,1.0556,52.0698
sweep_01.s2p,720264000.0,-1.0919,-27.9884,1.0919,46.9447
sweep_01.s2p,750262500.0,-1.1053,-19.8381,1.1053,40.2419
sweep_01.s2p,780261000.0,-1.2035,-15.8179,1.2035,30.5584
sweep_01.s2p,810259500.0,-1.3357,-14.9618,1.3357,22.2651
sweep_01.s2p,840258000.0,-1.3117,-16.1105,1.3117,45.446
sweep_01.s2p,870256500.0,-1.2295,-19.9834,1.2295,60.8264
sweep_01.s2p,900255000.0,-1.2451,-45.1717,1.2451,47.9413
sweep_01.s2p,930253500.0,-1.3361,-20.0831,1.3361,41.3525
sweep_01.s2p,960252000.0,-1.4957,-14.3264,1.4957,37.9033
sweep_01.s2p,990250500.0,-1.6188,-11.9459,1.6188,36.5301
sweep_01.s2p,1020249000.0,-1.6473,-11.5769,1.6473,37.0187
sweep_01.s2p,1050247500.0,-1.5773,-13.2705,1.5773,39.4324
sweep_01.s2p,1080246000.0,-1.4795,-18.7626,1.4795,44.1633
sweep_01.s2p,1110244500.0,-1.4739,-30.7161,1.4739,52.1401
sweep_01.s2p,1140243000.0,-1.623,-15.3875,1.623,65.5222
sweep_01.s2p,1170241500.0,-1.8643,-11.0338,1.8643,86.123
sweep_01.s2p,1200240000.0,-2.0601,-9.3185,2.0601,58.3616
sweep_01.s2p,1230238500.0,-2.0891,-9.1571,2.0891,25.8184
sweep_01.s2p,1260237000.0,-1.9751,-10.5638,1.9751,21.2198
sweep_01.s2p,1290235500.0,-1.7599,-14.4955,1.7599,32.9265
sweep_01.s2p,1320234000.0,-1.6467,-24.709,1.6467,50.0163
sweep_01.s2p,1350232500.0,-1.7441,-17.0737,1.7441,62.0037
sweep_01.s2p,1380231000.0,-2.0117,-11.4755,2.0117,69.7029
sweep_01.s2p,1410229500.0,-2.2537,-9.2362,2.2537,73.1992
sweep_01.s2p,1440228000.0,-2.3052,-8.8732,2.3052,72.4601
sweep_01.s2p,1470226500.0,-2.1444,-10.2531,2.1444,67.767
sweep_01.s2p,1500225000.0,-1.8801,-14.4386,1.8801,59.9131
sweep_01.s2p,1530223500.0,-1.7792,-21.9311,1.7792,49.9498
sweep_01.s2p,1560222000.0,-1.9278,-14.2812,1.9278,38.9835
sweep_01.s2p,1590220500.0,-2.2117,-10.1479,2.2117,27.8035
sweep_01.s2p,1620219000.0,-2.4289,-8.7964,2.4289,19.0377
sweep_01.s2p,1650217500.0,-2.3982,-9.2959,2.3982,19.8762
sweep_01.s2p,1680216000.0,-2.1962,-12.0153,2.1962,38.2109
sweep_01.s2p,1710214500.0,-1.9894,-20.7783,1.9894,43.717
sweep_01.s2p,1740213000.0,-2.0397,-19.2131,2.0397,36.1361
sweep_01.s2p,1770211500.0,-2.3813,-11.0095,2.3813,32.7648
sweep_01.s2p,1800210000.0,-2.8114,-8.2232,2.8114,32.1494
sweep_01.s2p,1830208500.0,-3.037,-7.4905,3.037,33.3998
sweep_01.s2p,1860207000.0,-2.9523,-8.2877,2.9523,36.4206
sweep_01.s2p,1890205500.0,-2.6381,-11.46,2.6381,41.8268
sweep_01.s2p,1920204000.0,-2.3801,-23.6483,2.3801,50.9541
sweep_01.s2p,1950202500.0,-2.5149,-15.2529,2.5149,66.251
sweep_01.s2p,1980201000.0,-3.0561,-8.6795,3.0561,85.6286
sweep_01.s2p,2010199500.0,-3.549,-6.3269,3.549,64.6896
sweep_01.s2p,2040198000.0,-3.7312,-5.6987,3.7312,35.8312
sweep_01.s2p,2070196500.0,-3.478,-6.3663,3.478,28.01
sweep_01.s2p,2100195000.0,-2.9682,-8.8543,2.9682,31.5107
sweep_01.s2p,2130193500.0,-2.5481,-14.4316,2.5481,48.8255
sweep_01.s2p,2160192000.0,-2.6184,-12.6123,2.6184,67.0905
sweep_01.s2p,2190190500.0,-3.133,-7.644,3.133,76.7641
sweep_01.s2p,2220189000.0,-3.6373,-5.6237,3.6373,79.6932
sweep_01.s2p,2250187500.0,-3.7975,-5.2536,3.7975,77.7207
sweep_01.s2p,2280186000.0,-3.5356,-6.2348,3.5356,72.0705
sweep_01.s2p,2310184500.0,-3.0207,-9.1319,3.0207,63.5261
sweep_01.s2p,2340183000.0,-2.6792,-14.288,2.6792,53.2494
sweep_01.s2p,2370181500.0,-2.8519,-11.2422,2.8519,42.7193
sweep_01.s2p,2400180000.0,-3.4041,-7.3562,3.4041,33.8399
sweep_01.s2p,2430178500.0,-3.8433,-5.8945,3.8433,27.9997
sweep_01.s2p,2460177000.0,-3.8893,-5.9142,3.8893,25.8017
sweep_01.s2p,2490175500.0,-3.5325,-7.4956,3.5325,28.611
sweep_01.s2p,2520174000.0,-3.0725,-12.0973,3.0725,37.8237
sweep_01.s2p,2550172500.0,-3.0054,-17.2913,3.0054,37.0744
sweep_01.s2p,2580171000.0,-3.5202,-9.6,3.5202,35.2008
sweep_01.s2p,2610169500.0,-4.2266,-6.1299,4.2266,35.0767
sweep_01.s2p,2640168000.0,-4.7037,-4.8554,4.7037,36.0355
sweep_01.s2p,2670166500.0,-4.6908,-4.9565,4.6908,38.149
sweep_01.s2p,2700165000.0,-4.1978,-6.6652,4.1978,42.024
sweep_01.s2p,2730163500.0,-3.6159,-12.0405,3.6159,49.0364
sweep_01.s2p,2760162000.0,-3.5945,-15.8447,3.5945,60.6845
sweep_01.s2p,2790160500.0,-4.2343,-7.8478,4.2343,77.905
sweep_01.s2p,2820159000.0,-5.0055,-4.9496,5.0055,98.4034
sweep_01.s2p,2850157500.0,-5.3752,-4.0512,5.3752,113.4587
sweep_01.s2p,2880156000.0,-5.1302,-4.3821,5.1302,113.4231
sweep_01.s2p,2910154500.0,-4.4157,-6.3231,4.4157,95.1187
sweep_01.s2p,2940153000.0,-3.7684,-10.8045,3.7684,72.7412
sweep_01.s2p,2970151500.0,-3.907,-10.2906,3.907,71.7957
sweep_01.s2p,3000150000.0,-4.657,-6.2557,4.657,73.4932
sweep_01.s2p,3030148500.0,-5.3242,-4.3656,5.3242,73.3929
sweep_01.s2p,3060147000.0,-5.5578,-3.7637,5.5578,71.7181
sweep_01.s2p,3090145500.0,-5.2253,-4.1621,5.2253,68.4288
sweep_01.s2p,3120144000.0,-4.4452,-5.9315,4.4452,63.2983
sweep_01.s2p,3150142500.0,-3.861,-9.3999,3.861,56.4481
sweep_01.s2p,3180141000.0,-4.2151,-8.4117,4.2151,49.5114
sweep_01.s2p,3210139500.0,-5.1362,-5.3918,5.1362,44.6397
