lane_id,channel,rate_gbps,linked,eye_csv,eye_area_ratio,zero_error_fraction,eye_height_mv,eye_width_ui,eye_png,margin_csv,link_margin_mv,error_onset_mv,num_margin_points,num_margin_runs
fwd_3g,forward,3.0,True,eye_fwd_3g.csv,0.21582,0.187988,216.562,0.8125,eye_fwd_3g.png,margin_fwd_3g.csv,50.0,,37,5
fwd_6g,forward,6.0,True,eye_fwd_6g.csv,0.076172,0.042969,98.438,0.59375,eye_fwd_6g.png,margin_fwd_6g.csv,,410.0,9,5
rev_187m_fwd3g,reverse,0.1875,True,eye_rev_187m_fwd3g.csv,0.189697,0.147217,118.125,2.0,eye_rev_187m_fwd3g.png,margin_rev_187m_fwd3g.csv,170.0,160.0,16,5
rev_187m_fwd6g,reverse,0.1875,True,eye_rev_187m_fwd6g.csv,0.086426,0.027344,49.219,2.0,eye_rev_187m_fwd6g.png,margin_rev_187m_fwd6g.csv,80.0,70.0,20,5
