filename,frequency_hz,s21_db,s11_db,attenuation_db,impedance_ohm
sweep_01.s2p,2460177000.0,-4.6057,-6.8875,4.6057,25.8374
sweep_01.s2p,2490175500.0,-5.197,-5.2582,5.197,26.4409
sweep_01.s2p,2520174000.0,-5.2809,-5.1374,5.2809,30.9822
sweep_01.s2p,2550172500.0,-4.8574,-6.5699,4.8574,38.1446
sweep_01.s2p,2580171000.0,-4.2625,-11.4501,4.2625,41.4101
sweep_01.s2p,2610169500.0,-4.1127,-25.3376,4.1127,25.7666
sweep_01.s2p,2640168000.0,-4.7422,-9.5095,4.7422,21.5424
sweep_01.s2p,2670166500.0,-5.6347,-5.7245,5.6347,24.5501
sweep_01.s2p,2700165000.0,-6.1895,-4.5046,6.1895,28.9972
sweep_01.s2p,2730163500.0,-6.1499,-4.6247,6.1499,34.5906
sweep_01.s2p,2760162000.0,-5.5356,-6.3787,5.5356,42.8729
sweep_01.s2p,2790160500.0,-4.7779,-12.6662,4.7779,56.2205
sweep_01.s2p,2820159000.0,-4.7639,-17.4518,4.7639,77.4738
sweep_01.s2p,2850157500.0,-5.7225,-6.9521,5.7225,105.8861
sweep_01.s2p,2880156000.0,-6.85,-4.109,6.85,124.4957
sweep_01.s2p,2910154500.0,-7.464,-3.2731,7.464,114.5656
sweep_01.s2p,2940153000.0,-7.3211,-3.4833,7.3211,96.5455
sweep_01.s2p,2970151500.0,-6.4278,-4.9721,6.4278,80.5345
sweep_01.s2p,3000150000.0,-5.2733,-9.679,5.2733,67.384
sweep_01.s2p,3030148500.0,-4.9847,-13.5978,4.9847,72.6828
sweep_01.s2p,3060147000.0,-5.9874,-6.1345,5.9874,89.6487
sweep_01.s2p,3090145500.0,-7.1916,-3.6086,7.1916,86.2785
sweep_01.s2p,3120144000.0,-7.8068,-2.8599,7.8068,78.295
sweep_01.s2p,3150142500.0,-7.6221,-3.0383,7.6221,69.0493
sweep_01.s2p,3180141000.0,-6.6736,-4.3496,6.6736,58.0371
sweep_01.s2p,3210139500.0,-5.4274,-8.3525,5.4274,46.5203
sweep_01.s2p,3240138000.0,-5.0872,-12.2811,5.0872,38.5732
sweep_01.s2p,3270136500.0,-6.1156,-6.0809,6.1156,37.411
sweep_01.s2p,3300135000.0,-7.4022,-3.6286,7.4022,40.6068
sweep_01.s2p,3330133500.0,-8.0941,-2.9033,8.0941,45.0029
sweep_01.s2p,3360132000.0,-7.9825,-3.1098,7.9825,49.707
sweep_01.s2p,3390130500.0,-7.1324,-4.5458,7.1324,54.9979
sweep_01.s2p,3420129000.0,-6.0052,-9.3878,6.0052,57.8228
sweep_01.s2p,3450127500.0,-5.7986,-14.5347,5.7986,42.3324
sweep_01.s2p,3480126000.0,-6.9322,-6.1508,6.9322,36.0692
sweep_01.s2p,3510124500.0,-8.2442,-3.605,8.2442,39.149
sweep_01.s2p,3540123000.0,-8.8886,-2.8958,8.8886,43.3597
sweep_01.s2p,3570121500.0,-8.6775,-3.1839,8.6775,49.5367
sweep_01.s2p,3600120000.0,-7.7156,-4.8676,7.7156,60.7101
sweep_01.s2p,3630118500.0,-6.5603,-10.6577,6.5603,78.118
sweep_01.s2p,3660117000.0,-6.5614,-11.7807,6.5614,85.2662
sweep_01.s2p,3690115500.0,-7.8816,-4.9645,7.8816,78.0642
sweep_01.s2p,3720114000.0,-9.1807,-2.8785,9.1807,70.2523
sweep_01.s2p,3750112500.0,-9.7405,-2.2669,9.7405,64.2002
sweep_01.s2p,3780111000.0,-9.4033,-2.5198,9.4033,59.3138
sweep_01.s2p,3810109500.0,-8.2183,-3.929,8.2183,54.5762
sweep_01.s2p,3840108000.0,-6.8044,-8.0201,6.8044,49.9294
sweep_01.s2p,3870106500.0,-6.7656,-8.3824,6.7656,54.1381
sweep_01.s2p,3900105000.0,-8.2325,-4.0091,8.2325,64.3937
sweep_01.s2p,3930103500.0,-9.6242,-2.4284,9.6242,62.0879
sweep_01.s2p,3960102000.0,-10.1954,-1.9865,10.1954,55.7403
sweep_01.s2p,3990100500.0,-9.7874,-2.1889,9.7874,46.7442
sweep_01.s2p,4020099000.0,-8.5525,-3.3085,8.5525,37.2042
sweep_01.s2p,4050097500.0,-7.0682,-6.4316,7.0682,37.9758
sweep_01.s2p,4080096000.0,-6.9598,-7.3244,6.9598,46.4405
sweep_01.s2p,4110094500.0,-8.4819,-3.8075,8.4819,54.2769
sweep_01.s2p,4140093000.0,-9.9395,-2.3525,9.9395,60.1084
sweep_01.s2p,4170091500.0,-10.556,-1.9573,10.556,64.6855
sweep_01.s2p,4200090000.0,-10.2338,-2.2277,10.2338,68.8874
sweep_01.s2p,4230088500.0,-9.0532,-3.558,9.0532,73.4766
sweep_01.s2p,4260087000.0,-7.6633,-7.5411,7.6633,77.7468
sweep_01.s2p,4290085500.0,-7.709,-8.3255,7.709,76.6615
sweep_01.s2p,4320084000.0,-9.3099,-3.9751,9.3099,85.437
sweep_01.s2p,4350082500.0,-10.7827,-2.3948,10.7827,136.5948
sweep_01.s2p,4380081000.0,-11.3982,-1.9919,11.3982,38.6653
sweep_01.s2p,4410079500.0,-11.0514,-2.3201,11.0514,22.6703
sweep_01.s2p,4440078000.0,-9.8524,-3.7937,9.8524,29.7833
sweep_01.s2p,4470076500.0,-8.514,-8.0764,8.514,47.4777
sweep_01.s2p,4500075000.0,-8.6753,-8.1153,8.6753,52.3989
sweep_01.s2p,4530073500.0,-10.2744,-3.851,10.2744,48.1286
sweep_01.s2p,4560072000.0,-11.6639,-2.3399,11.6639,45.0155
sweep_01.s2p,4590070500.0,-12.1814,-1.9192,12.1814,42.8314
sweep_01.s2p,4620069000.0,-11.7254,-2.142,11.7254,40.8901
sweep_01.s2p,4650067500.0,-10.3839,-3.3326,10.3839,38.7697
sweep_01.s2p,4680066000.0,-8.9398,-6.4053,8.9398,36.7339
sweep_01.s2p,4710064500.0,-9.1761,-5.9918,9.1761,35.9711
sweep_01.s2p,4740063000.0,-10.862,-3.0607,10.862,29.9304
sweep_01.s2p,4770061500.0,-12.2359,-1.9119,12.2359,13.2147
sweep_01.s2p,4800060000.0,-12.6743,-1.588,12.6743,11.7135
sweep_01.s2p,4830058500.0,-12.1308,-1.7823,12.1308,19.2713
sweep_01.s2p,4860057000.0,-10.7154,-2.7494,10.7154,35.2106
sweep_01.s2p,4890055500.0,-9.1319,-5.1721,9.1319,52.0671
sweep_01.s2p,4920054000.0,-9.1981,-5.4462,9.1981,66.7745
sweep_01.s2p,4950052500.0,-10.9433,-2.9993,10.9433,77.7599
sweep_01.s2p,4980051000.0,-12.5287,-1.927,12.5287,85.5051
sweep_01.s2p,5010049500.0,-13.2053,-1.6311,13.2053,92.6107
sweep_01.s2p,5040048000.0,-12.8834,-1.8297,12.8834,100.9699
sweep_01.s2p,5070046500.0,-11.685,-2.8236,11.685,111.7672
