phase,vth,polarity,hits,errors
0,0,0,16332,0
0,0,1,16495,0
0,2,0,16327,0
0,2,1,16399,0
0,4,0,16254,0
0,4,1,16517,0
0,6,0,16398,0
0,6,1,16444,0
0,8,0,16278,0
0,8,1,16320,0
0,10,0,16340,6
0,10,1,16440,10
0,12,0,16346,42
0,12,1,16386,64
0,14,0,16235,136
0,14,1,16554,138
0,16,0,16321,452
0,16,1,16422,490
0,18,0,16341,1030
0,18,1,16428,1103
0,20,0,16435,2129
0,20,1,16525,2320
0,22,0,16236,3687
0,22,1,16509,3989
0,24,0,16329,5877
0,24,1,16401,6182
0,26,0,16411,8381
0,26,1,16439,8866
0,28,0,16238,10879
0,28,1,16423,11592
0,30,0,16303,13263
0,30,1,16459,13564
0,32,0,16257,14847
0,32,1,16490,15222
0,34,0,16342,15809
0,34,1,16517,16020
0,36,0,16193,16054
0,36,1,16422,16373
0,38,0,16273,16266
0,38,1,16456,16453
0,40,0,16241,16240
0,40,1,16397,16397
0,42,0,16270,16270
0,42,1,16463,16463
0,44,0,16279,16279
0,44,1,16383,16383
0,46,0,16261,16261
0,46,1,16329,16329
0,48,0,16200,16200
0,48,1,16402,16402
0,50,0,16277,16277
0,50,1,16513,16513
0,52,0,16226,16226
0,52,1,16424,16424
0,54,0,16260,16260
0,54,1,16470,16470
0,56,0,16258,16258
0,56,1,16484,16484
0,58,0,16225,16225
0,58,1,16437,16437
0,60,0,16241,16241
0,60,1,16506,16506
0,62,0,16234,16234
0,62,1,16481,16481
2,0,0,16389,0
2,0,1,16561,0
2,2,0,16311,0
2,2,1,16455,0
2,4,0,16329,0
2,4,1,16371,0
2,6,0,16291,0
2,6,1,16461,0
2,8,0,16329,0
2,8,1,16402,0
2,10,0,16411,9
2,10,1,16445,9
2,12,0,16308,49
2,12,1,16450,59
2,14,0,16333,141
2,14,1,16400,186
2,16,0,16306,406
2,16,1,16445,519
2,18,0,16276,1017
2,18,1,16459,1216
2,20,0,16190,2040
2,20,1,16419,2339
2,22,0,16316,3739
2,22,1,16447,4067
2,24,0,16376,5838
2,24,1,16462,6206
2,26,0,16411,8361
2,26,1,16347,8688
2,28,0,16369,10874
2,28,1,16369,11475
2,30,0,16246,13334
2,30,1,16450,13777
2,32,0,16325,14937
2,32,1,16446,15124
2,34,0,16242,15716
2,34,1,16615,16102
2,36,0,16231,16146
2,36,1,16374,16336
2,38,0,16233,16227
2,38,1,16471,16470
2,40,0,16264,16263
2,40,1,16515,16515
2,42,0,16141,16141
2,42,1,16412,16412
2,44,0,16172,16172
2,44,1,16400,16400
2,46,0,16230,16230
2,46,1,16410,16410
2,48,0,16217,16217
2,48,1,16445,16445
2,50,0,16218,16218
2,50,1,16425,16425
2,52,0,16256,16256
2,52,1,16442,16442
2,54,0,16288,16288
2,54,1,16445,16445
2,56,0,16252,16252
2,56,1,16443,16443
2,58,0,16254,16254
2,58,1,16445,16445
2,60,0,16322,16322
2,60,1,16375,16375
2,62,0,16134,16134
2,62,1,16426,16426
4,0,0,16227,0
4,0,1,16375,0
4,2,0,16300,0
4,2,1,16562,0
4,4,0,16336,0
4,4,1,16446,0
4,6,0,16333,0
4,6,1,16455,0
4,8,0,16137,1
4,8,1,16408,0
4,10,0,16353,10
4,10,1,16535,7
4,12,0,16386,47
4,12,1,16387,68
4,14,0,16279,167
4,14,1,16477,197
4,16,0,16400,458
4,16,1,16476,576
4,18,0,16362,1138
4,18,1,16433,1279
4,20,0,16363,2243
4,20,1,16441,2545
4,22,0,16237,3779
4,22,1,16377,4388
4,24,0,16327,5926
4,24,1,16526,6627
4,26,0,16265,8489
4,26,1,16478,8989
4,28,0,16287,10958
4,28,1,16395,11341
4,30,0,16271,13336
4,30,1,16511,13733
4,32,0,16325,14769
4,32,1,16560,15065
4,34,0,16228,15805
4,34,1,16528,15980
4,36,0,16282,16179
4,36,1,16404,16380
4,38,0,16271,16264
4,38,1,16321,16321
4,40,0,16345,16345
4,40,1,16383,16383
4,42,0,16306,16306
4,42,1,16419,16419
4,44,0,16206,16206
4,44,1,16449,16449
4,46,0,16276,16276
4,46,1,16446,16446
4,48,0,16198,16198
4,48,1,16432,16432
4,50,0,16252,16252
4,50,1,16428,16428
4,52,0,16253,16253
4,52,1,16511,16511
4,54,0,16254,16254
4,54,1,16483,16483
4,56,0,16290,16290
4,56,1,16376,16376
4,58,0,16192,16192
4,58,1,16518,16518
4,60,0,16240,16240
4,60,1,16487,16487
4,62,0,16170,16170
4,62,1,16480,16480
6,0,0,16448,0
6,0,1,16377,0
6,2,0,16293,0
6,2,1,16421,0
6,4,0,16409,0
6,4,1,16425,0
6,6,0,16377,0
6,6,1,16405,0
6,8,0,16284,2
6,8,1,16445,0
6,10,0,16359,13
6,10,1,16501,8
6,12,0,16401,56
6,12,1,16523,75
6,14,0,16347,175
6,14,1,16346,212
6,16,0,16285,519
6,16,1,16396,625
6,18,0,16242,1247
6,18,1,16451,1470
6,20,0,16377,2516
6,20,1,16418,2778
6,22,0,16295,4144
6,22,1,16477,4659
6,24,0,16401,6311
6,24,1,16446,6713
6,26,0,16306,8638
6,26,1,16414,9022
6,28,0,16360,10913
6,28,1,16341,11323
6,30,0,16212,13221
6,30,1,16617,13429
6,32,0,16236,14738
6,32,1,16527,14979
6,34,0,16263,15671
6,34,1,16430,15939
6,36,0,16230,16148
6,36,1,16365,16331
6,38,0,16278,16272
6,38,1,16460,16460
6,40,0,16272,16272
6,40,1,16383,16383
6,42,0,16287,16287
6,42,1,16464,16464
6,44,0,16245,16245
6,44,1,16466,16466
6,46,0,16397,16397
6,46,1,16443,16443
6,48,0,16351,16351
6,48,1,16343,16343
6,50,0,16222,16222
6,50,1,16433,16433
6,52,0,16224,16224
6,52,1,16332,16332
6,54,0,16271,16271
6,54,1,16432,16432
6,56,0,16291,16291
6,56,1,16551,16551
6,58,0,16205,16205
6,58,1,16354,16354
6,60,0,16287,16287
6,60,1,16585,16585
6,62,0,16149,16149
6,62,1,16470,16470
8,0,0,16301,0
8,0,1,16344,0
8,2,0,16419,0
8,2,1,16407,0
8,4,0,16291,0
8,4,1,16497,0
8,6,0,16301,0
8,6,1,16452,0
8,8,0,16192,1
