filename,frequency_hz,s21_db,s11_db,attenuation_db,impedance_ohm
sweep_01.s2p,2490175500.0,-16.7502,-6.9118,16.7502,42.652
sweep_01.s2p,2520174000.0,-16.8882,-7.0351,16.8882,41.7881
sweep_01.s2p,2550172500.0,-16.8827,-7.3388,16.8827,40.7537
sweep_01.s2p,2580171000.0,-17.1429,-6.8946,17.1429,39.9081
sweep_01.s2p,2610169500.0,-17.4349,-6.5661,17.4349,40.0683
sweep_01.s2p,2640168000.0,-17.4153,-6.9051,17.4153,39.3156
sweep_01.s2p,2670166500.0,-17.6326,-6.782,17.6326,38.7286
sweep_01.s2p,2700165000.0,-18.0998,-6.2451,18.0998,36.8351
sweep_01.s2p,2730163500.0,-18.1935,-6.2297,18.1935,37.0235
sweep_01.s2p,2760162000.0,-18.3425,-5.9753,18.3425,38.3882
sweep_01.s2p,2790160500.0,-18.743,-5.4983,18.743,41.5805
sweep_01.s2p,2820159000.0,-18.8872,-5.436,18.8872,51.0201
sweep_01.s2p,2850157500.0,-18.9767,-5.3376,18.9767,57.8558
sweep_01.s2p,2880156000.0,-19.3938,-4.9529,19.3938,65.9897
sweep_01.s2p,2910154500.0,-19.3793,-5.1246,19.3793,67.6387
sweep_01.s2p,2940153000.0,-19.198,-5.2604,19.198,68.6436
sweep_01.s2p,2970151500.0,-19.5557,-4.8375,19.5557,69.0338
sweep_01.s2p,3000150000.0,-19.9114,-4.6578,19.9114,66.9712
sweep_01.s2p,3030148500.0,-19.5425,-4.7526,19.5425,67.5478
sweep_01.s2p,3060147000.0,-19.5813,-4.4673,19.5813,68.4115
sweep_01.s2p,3090145500.0,-20.2305,-4.3439,20.2305,68.5426
sweep_01.s2p,3120144000.0,-20.2003,-4.4174,20.2003,68.9404
sweep_01.s2p,3150142500.0,-19.8237,-4.2465,19.8237,68.7436
sweep_01.s2p,3180141000.0,-20.3322,-4.1002,20.3322,65.9934
sweep_01.s2p,3210139500.0,-20.9368,-4.1934,20.9368,60.4832
sweep_01.s2p,3240138000.0,-20.513,-4.2171,20.513,55.853
sweep_01.s2p,3270136500.0,-20.2366,-4.2321,20.2366,53.3565
sweep_01.s2p,3300135000.0,-20.7153,-4.535,20.7153,53.3084
sweep_01.s2p,3330133500.0,-20.8739,-4.7193,20.8739,53.0299
sweep_01.s2p,3360132000.0,-20.6094,-4.5725,20.6094,52.9708
sweep_01.s2p,3390130500.0,-20.9103,-4.6858,20.9103,53.3214
sweep_01.s2p,3420129000.0,-21.4124,-4.8189,21.4124,53.5327
sweep_01.s2p,3450127500.0,-21.3452,-4.7025,21.3452,53.7392
sweep_01.s2p,3480126000.0,-21.2816,-4.7457,21.2816,53.9579
sweep_01.s2p,3510124500.0,-21.6993,-4.8472,21.6993,53.8116
sweep_01.s2p,3540123000.0,-21.9276,-4.7086,21.9276,53.505
sweep_01.s2p,3570121500.0,-22.0305,-4.5674,22.0305,52.2946
sweep_01.s2p,3600120000.0,-22.3029,-4.5805,22.3029,51.4109
sweep_01.s2p,3630118500.0,-22.5612,-4.3596,22.5612,51.6455
sweep_01.s2p,3660117000.0,-22.4674,-4.2838,22.4674,52.2345
sweep_01.s2p,3690115500.0,-22.4586,-4.3085,22.4586,53.0207
sweep_01.s2p,3720114000.0,-22.6337,-4.0216,22.6337,53.4764
sweep_01.s2p,3750112500.0,-22.7317,-3.7192,22.7317,53.2453
sweep_01.s2p,3780111000.0,-22.7881,-3.7274,22.7881,53.1165
sweep_01.s2p,3810109500.0,-23.0509,-3.6241,23.0509,53.221
sweep_01.s2p,3840108000.0,-23.2709,-3.3655,23.2709,52.8477
sweep_01.s2p,3870106500.0,-23.2137,-3.3004,23.2137,51.5979
sweep_01.s2p,3900105000.0,-23.2973,-3.2636,23.2973,50.5669
sweep_01.s2p,3930103500.0,-23.5203,-3.0735,23.5203,49.2846
sweep_01.s2p,3960102000.0,-23.6313,-2.9485,23.6313,49.6748
sweep_01.s2p,3990100500.0,-23.5981,-2.9203,23.5981,56.4894
sweep_01.s2p,4020099000.0,-23.7746,-2.8834,23.7746,70.0635
sweep_01.s2p,4050097500.0,-23.8513,-3.0232,23.8513,77.17
sweep_01.s2p,4080096000.0,-23.7957,-3.218,23.7957,76.3502
sweep_01.s2p,4110094500.0,-24.0294,-3.1975,24.0294,75.6721
sweep_01.s2p,4140093000.0,-24.4135,-3.1747,24.4135,76.2038
sweep_01.s2p,4170091500.0,-24.4489,-3.3478,24.4489,76.4332
sweep_01.s2p,4200090000.0,-24.6209,-3.4036,24.6209,77.0067
sweep_01.s2p,4230088500.0,-24.9339,-3.4324,24.9339,78.7882
sweep_01.s2p,4260087000.0,-24.8957,-3.6432,24.8957,80.7864
sweep_01.s2p,4290085500.0,-24.956,-3.7181,24.956,81.7747
sweep_01.s2p,4320084000.0,-25.282,-3.6276,25.282,74.5934
sweep_01.s2p,4350082500.0,-25.4019,-3.636,25.4019,52.6288
sweep_01.s2p,4380081000.0,-25.5796,-3.5444,25.5796,36.9744
sweep_01.s2p,4410079500.0,-25.8765,-3.4183,25.8765,29.3458
sweep_01.s2p,4440078000.0,-25.9129,-3.4276,25.9129,29.776
sweep_01.s2p,4470076500.0,-25.9448,-3.4693,25.9448,32.637
sweep_01.s2p,4500075000.0,-26.1859,-3.3906,26.1859,35.274
sweep_01.s2p,4530073500.0,-26.1407,-3.4008,26.1407,37.1225
sweep_01.s2p,4560072000.0,-26.1584,-3.3382,26.1584,37.8999
sweep_01.s2p,4590070500.0,-26.4587,-3.1546,26.4587,37.9048
sweep_01.s2p,4620069000.0,-26.5558,-3.0502,26.5558,37.0947
sweep_01.s2p,4650067500.0,-26.5214,-2.9948,26.5214,35.1988
sweep_01.s2p,4680066000.0,-26.7333,-2.9808,26.7333,32.105
sweep_01.s2p,4710064500.0,-26.8894,-2.941,26.8894,28.2563
sweep_01.s2p,4740063000.0,-26.9804,-2.8857,26.9804,27.0511
sweep_01.s2p,4770061500.0,-27.2277,-2.8152,27.2277,31.5716
sweep_01.s2p,4800060000.0,-27.2246,-2.791,27.2246,47.5481
sweep_01.s2p,4830058500.0,-27.2768,-2.7917,27.2768,75.7846
sweep_01.s2p,4860057000.0,-27.4876,-2.8011,27.4876,96.7266
