phase,vth,polarity,hits,errors
0,0,0,16411,0
0,0,1,16364,0
0,2,0,16425,0
0,2,1,16355,0
0,4,0,16498,0
0,4,1,16206,0
0,6,0,16411,0
0,6,1,16419,0
0,8,0,16421,0
0,8,1,16401,0
0,10,0,16643,0
0,10,1,16352,19
0,12,0,16299,29
0,12,1,16381,147
0,14,0,16484,304
0,14,1,16363,724
0,16,0,16390,1318
0,16,1,16314,2262
0,18,0,16370,3201
0,18,1,16315,4389
0,20,0,16460,5571
0,20,1,16263,6605
0,22,0,16452,7308
0,22,1,16314,7594
0,24,0,15990,7891
0,24,1,16357,7830
0,26,0,15964,8036
0,26,1,16405,7970
0,28,0,15982,8248
0,28,1,16364,8398
0,30,0,15964,9527
0,30,1,16455,10452
0,32,0,16011,12333
0,32,1,16283,13533
0,34,0,16116,14754
0,34,1,16391,15805
0,36,0,16013,15776
0,36,1,16365,16321
0,38,0,16029,16015
0,38,1,16341,16340
0,40,0,15910,15910
0,40,1,16469,16469
0,42,0,15999,15999
0,42,1,16418,16418
0,44,0,16036,16036
0,44,1,16426,16426
0,46,0,16003,16003
0,46,1,16369,16369
0,48,0,16030,16030
0,48,1,16277,16277
0,50,0,16007,16007
0,50,1,16393,16393
0,52,0,15935,15935
0,52,1,16350,16350
0,54,0,15976,15976
0,54,1,16453,16453
0,56,0,15876,15876
0,56,1,16313,16313
0,58,0,15935,15935
0,58,1,16335,16335
0,60,0,15944,15944
0,60,1,16318,16318
0,62,0,16008,16008
0,62,1,16418,16418
2,0,0,16393,0
2,0,1,16441,0
2,2,0,16390,0
2,2,1,16404,0
2,4,0,16490,0
2,4,1,16294,0
2,6,0,16425,0
2,6,1,16407,0
2,8,0,16373,0
2,8,1,16323,0
2,10,0,16437,4
2,10,1,16315,14
2,12,0,16520,43
2,12,1,16349,148
2,14,0,16450,306
2,14,1,16376,638
2,16,0,16407,1277
2,16,1,16309,2256
2,18,0,16433,3264
2,18,1,16394,4607
2,20,0,16428,5455
2,20,1,16339,6573
2,22,0,16363,7205
2,22,1,16341,7605
2,24,0,15980,8040
2,24,1,16368,8048
2,26,0,15997,7932
2,26,1,16408,8070
2,28,0,15995,8274
2,28,1,16310,8520
2,30,0,16016,9730
2,30,1,16413,10617
2,32,0,15923,12147
2,32,1,16388,13821
2,34,0,15951,14837
2,34,1,16390,15777
2,36,0,15942,15720
2,36,1,16367,16315
2,38,0,16015,16002
2,38,1,16279,16278
2,40,0,16073,16073
2,40,1,16486,16486
2,42,0,15877,15877
2,42,1,16339,16339
2,44,0,16131,16131
2,44,1,16463,16463
2,46,0,15919,15919
2,46,1,16441,16441
2,48,0,15970,15970
2,48,1,16407,16407
2,50,0,16072,16072
2,50,1,16326,16326
2,52,0,15906,15906
2,52,1,16495,16495
2,54,0,15896,15896
2,54,1,16352,16352
2,56,0,15995,15995
2,56,1,16365,16365
2,58,0,15941,15941
2,58,1,16332,16332
2,60,0,15985,15985
2,60,1,16377,16377
2,62,0,16001,16001
2,62,1,16341,16341
4,0,0,16385,0
4,0,1,16329,0
4,2,0,16431,0
4,2,1,16298,0
4,4,0,16484,0
4,4,1,16323,0
