tx_amp_mv,code,rep,locked,errors,status
250,25,0,1,0,ok
240,24,0,1,0,ok
230,23,0,1,0,ok
220,22,0,1,0,ok
210,21,0,1,0,ok
200,20,0,1,0,ok
190,19,0,1,0,ok
180,18,0,1,0,ok
170,17,0,1,0,ok
160,16,0,1,0,ok
150,15,0,1,0,ok
140,14,0,1,40,errors
