profile_id,condition,cable_length_mm,session_id,date,operator,lane_id,channel,rate_gbps,linked,eye_area_ratio,zero_error_fraction,eye_height_mv,eye_width_ui,link_margin_mv,error_onset_mv
cooner_wire_cw8251,1120mm,1120.0,20260707_01,2026-07-07,Federico,rev_187m_fwd3g,reverse,0.1875,True,0.240967,0.19873,157.5,2.0,100.0,90.0
cooner_wire_cw8251,1120mm,1120.0,20260707_01,2026-07-07,Federico,rev_187m_fwd6g,reverse,0.1875,True,0.15625,0.126465,98.438,2.0,80.0,70.0
cooner_wire_cw8251,1500mm,1500.0,20260708_01,2026-07-08,Federico,fwd_3g,forward,3.0,True,0.242432,0.227295,196.875,0.875,50.0,
cooner_wire_cw8251,1500mm,1500.0,20260708_01,2026-07-08,Federico,fwd_6g,forward,6.0,True,0.145508,0.119873,167.344,0.75,190.0,180.0
cooner_wire_cw8251,1500mm,1500.0,20260708_01,2026-07-08,Federico,rev_187m_fwd3g,reverse,0.1875,True,0.25,0.223633,157.5,2.0,90.0,80.0
cooner_wire_cw8251,1500mm,1500.0,20260708_01,2026-07-08,Federico,rev_187m_fwd6g,reverse,0.1875,True,0.171875,0.14624,108.281,2.0,70.0,60.0
cooner_wire_cw8251,2000mm,2000.0,20260707_01,2026-07-07,Federico,fwd_3g,forward,3.0,True,0.236328,0.213867,236.25,0.875,50.0,
cooner_wire_cw8251,2000mm,2000.0,20260707_01,2026-07-07,Federico,fwd_6g,forward,6.0,True,0.074219,0.049316,98.438,0.625,320.0,310.0
cooner_wire_cw8251,2000mm,2000.0,20260707_01,2026-07-07,Federico,rev_187m_fwd3g,reverse,0.1875,True,0.21875,0.188721,137.812,2.0,140.0,130.0
cooner_wire_cw8251,2000mm,2000.0,20260707_01,2026-07-07,Federico,rev_187m_fwd6g,reverse,0.1875,True,0.154785,0.115967,88.594,2.0,90.0,80.0
cooner_wire_cw8251,500mm,500.0,20260708_01,2026-07-08,Federico,fwd_3g,forward,3.0,True,0.195312,0.171875,118.125,0.875,50.0,
cooner_wire_cw8251,500mm,500.0,20260708_01,2026-07-08,Federico,fwd_6g,forward,6.0,True,0.133789,0.110352,157.5,0.6875,110.0,100.0
cooner_wire_cw8251,500mm,500.0,20260708_01,2026-07-08,Federico,rev_187m_fwd3g,reverse,0.1875,True,0.21875,0.1875,137.812,2.0,130.0,120.0
cooner_wire_cw8251,500mm,500.0,20260708_01,2026-07-08,Federico,rev_187m_fwd6g,reverse,0.1875,True,0.1875,0.150391,118.125,2.0,110.0,100.0
