lane_id,channel,rate_gbps,linked,eye_csv,eye_area_ratio,zero_error_fraction,eye_height_mv,eye_width_ui,eye_png,margin_csv,link_margin_mv,error_onset_mv,num_margin_points,num_margin_runs
fwd_3g,forward,3.0,True,eye_fwd_3g.csv,0.186523,0.167236,127.969,0.875,eye_fwd_3g.png,margin_fwd_3g.csv,50.0,,37,10
fwd_6g,forward,6.0,True,eye_fwd_6g.csv,0.144287,0.119629,157.5,0.78125,eye_fwd_6g.png,margin_fwd_6g.csv,180.0,170.0,30,10
rev_187m_fwd3g,reverse,0.1875,True,eye_rev_187m_fwd3g.csv,0.25,0.220947,157.5,2.0,eye_rev_187m_fwd3g.png,margin_rev_187m_fwd3g.csv,170.0,160.0,12,10
rev_187m_fwd6g,reverse,0.1875,True,eye_rev_187m_fwd6g.csv,0.172363,0.138428,98.438,2.0,eye_rev_187m_fwd6g.png,margin_rev_187m_fwd6g.csv,110.0,100.0,18,10
