phase,vth,polarity,hits,errors
0,0,0,16149,0
0,0,1,16705,0
0,2,0,16002,0
0,2,1,16664,0
0,4,0,16026,0
0,4,1,16744,0
0,6,0,16113,0
0,6,1,16692,0
0,8,0,16161,0
0,8,1,16698,3
0,10,0,16092,16
0,10,1,16677,34
0,12,0,16181,186
0,12,1,16649,230
0,14,0,16049,770
0,14,1,16653,858
0,16,0,16082,2107
0,16,1,16595,2350
0,18,0,16168,4294
0,18,1,16617,4516
0,20,0,16106,6271
0,20,1,16694,6731
0,22,0,16093,7504
0,22,1,16693,7834
0,24,0,16163,8016
0,24,1,16421,8156
0,26,0,16058,8395
0,26,1,16450,8406
0,28,0,16142,9818
0,28,1,16489,9787
0,30,0,16215,12523
0,30,1,16497,12479
0,32,0,16110,14772
0,32,1,16378,15212
0,34,0,16132,15855
0,34,1,16472,16353
0,36,0,16099,16081
0,36,1,16465,16465
0,38,0,16107,16107
0,38,1,16401,16401
0,40,0,16101,16101
0,40,1,16451,16451
0,42,0,16086,16086
0,42,1,16435,16435
0,44,0,16102,16102
0,44,1,16366,16366
0,46,0,16181,16181
0,46,1,16422,16422
0,48,0,16097,16097
0,48,1,16437,16437
0,50,0,16109,16109
0,50,1,16408,16408
0,52,0,15973,15973
0,52,1,16466,16466
0,54,0,16099,16099
0,54,1,16473,16473
0,56,0,16108,16108
0,56,1,16455,16455
0,58,0,16003,16003
0,58,1,16477,16477
0,60,0,16210,16210
0,60,1,16474,16474
0,62,0,16009,16009
0,62,1,16546,16546
2,0,0,16177,0
2,0,1,16730,0
2,2,0,16173,0
2,2,1,16646,0
2,4,0,16077,0
2,4,1,16678,0
2,6,0,16091,0
2,6,1,16641,0
2,8,0,16027,2
2,8,1,16723,2
2,10,0,16120,22
2,10,1,16734,41
2,12,0,16051,148
2,12,1,16598,203
2,14,0,16104,736
2,14,1,16550,878
2,16,0,16213,2125
2,16,1,16532,2352
2,18,0,16085,4204
2,18,1,16705,4602
2,20,0,16161,6210
2,20,1,16659,6724
2,22,0,16187,7522
2,22,1,16624,7842
2,24,0,16169,8032
2,24,1,16472,8085
2,26,0,16096,8405
2,26,1,16425,8294
2,28,0,16067,9830
2,28,1,16436,9571
2,30,0,16072,12366
2,30,1,16575,12384
2,32,0,16140,14788
2,32,1,16413,15216
2,34,0,16180,15863
2,34,1,16407,16286
2,36,0,16046,16023
2,36,1,16411,16410
2,38,0,16098,16098
2,38,1,16468,16468
2,40,0,16152,16152
2,40,1,16397,16397
2,42,0,16069,16069
2,42,1,16377,16377
2,44,0,16112,16112
2,44,1,16378,16378
2,46,0,16179,16179
2,46,1,16398,16398
2,48,0,16137,16137
2,48,1,16521,16521
2,50,0,16062,16062
2,50,1,16470,16470
2,52,0,16060,16060
2,52,1,16549,16549
2,54,0,15970,15970
