phase,vth,polarity,hits,errors
0,0,0,16667,0
0,0,1,16213,0
0,2,0,16571,0
0,2,1,16156,0
0,4,0,16606,0
0,4,1,16195,0
0,6,0,16533,1
0,6,1,16195,2
0,8,0,16561,8
0,8,1,16356,18
0,10,0,16664,83
0,10,1,16219,131
0,12,0,16584,305
0,12,1,16233,453
0,14,0,16545,848
0,14,1,16321,1112
0,16,0,16459,1990
0,16,1,16182,2191
0,18,0,16455,3611
0,18,1,16301,4072
0,20,0,16577,5381
0,20,1,16254,5985
0,22,0,16542,6800
0,22,1,16314,7129
0,24,0,16475,7921
0,24,1,16328,8059
0,26,0,16448,8930
0,26,1,16081,8899
0,28,0,16287,10453
0,28,1,16183,10241
0,30,0,16522,12609
0,30,1,16231,12600
0,32,0,16451,14532
0,32,1,16162,14726
0,34,0,16264,15762
0,34,1,16288,15917
0,36,0,16413,16333
0,36,1,16247,16210
0,38,0,16430,16423
0,38,1,16180,16180
0,40,0,16460,16460
0,40,1,16121,16121
0,42,0,16270,16270
0,42,1,16180,16180
0,44,0,16361,16361
0,44,1,16178,16178
0,46,0,16323,16323
0,46,1,16296,16296
0,48,0,16346,16346
0,48,1,16233,16233
0,50,0,16433,16433
0,50,1,16246,16246
0,52,0,16507,16507
0,52,1,16244,16244
0,54,0,16429,16429
0,54,1,16202,16202
0,56,0,16369,16369
0,56,1,16287,16287
0,58,0,16412,16412
0,58,1,16368,16368
0,60,0,16299,16299
0,60,1,16166,16166
0,62,0,16232,16232
0,62,1,16370,16370
2,0,0,16560,0
2,0,1,16258,0
2,2,0,16570,0
2,2,1,16142,0
2,4,0,16667,0
2,4,1,16208,1
2,6,0,16527,0
2,6,1,16182,1
2,8,0,16640,15
2,8,1,16145,30
2,10,0,16606,84
2,10,1,16327,130
2,12,0,16582,288
2,12,1,16225,441
2,14,0,16624,870
2,14,1,16246,1136
2,16,0,16527,1890
2,16,1,16299,2291
2,18,0,16493,3710
2,18,1,16162,4014
2,20,0,16546,5334
2,20,1,16259,5719
2,22,0,16590,6906
2,22,1,16288,7221
2,24,0,16462,7788
2,24,1,16254,7956
