filename,frequency_hz,s21_db,s11_db,attenuation_db,impedance_ohm
sweep_01.s2p,300000.0,-0.0505,-43.8726,0.0505,60.5127
sweep_01.s2p,30298500.0,-0.1049,-30.0262,0.1049,33.5107
sweep_01.s2p,60297000.0,-0.1394,-25.9691,0.1394,36.2522
sweep_01.s2p,90295500.0,-0.1702,-23.5376,0.1702,37.4877
sweep_01.s2p,120294000.0,-0.1855,-21.9175,0.1855,38.4422
sweep_01.s2p,150292500.0,-0.2426,-20.8129,0.2426,39.3829
sweep_01.s2p,180291000.0,-0.2588,-19.9823,0.2588,40.4416
sweep_01.s2p,210289500.0,-0.2658,-19.6824,0.2658,41.6267
sweep_01.s2p,240288000.0,-0.2932,-19.4584,0.2932,42.8612
sweep_01.s2p,270286500.0,-0.2842,-19.604,0.2842,44.1204
sweep_01.s2p,300285000.0,-0.2978,-20.0492,0.2978,45.3605
sweep_01.s2p,330283500.0,-0.3111,-20.7058,0.3111,46.6623
sweep_01.s2p,360282000.0,-0.3194,-21.7807,0.3194,48.2136
sweep_01.s2p,390280500.0,-0.3398,-22.5011,0.3398,49.8892
sweep_01.s2p,420279000.0,-0.3507,-22.4801,0.3507,51.5398
sweep_01.s2p,450277500.0,-0.3103,-21.3252,0.3103,53.5216
sweep_01.s2p,480276000.0,-0.3839,-20.6418,0.3839,54.6003
sweep_01.s2p,510274500.0,-0.4262,-19.3267,0.4262,55.9293
sweep_01.s2p,540273000.0,-0.405,-18.5932,0.405,56.9306
sweep_01.s2p,570271500.0,-0.468,-17.1659,0.468,58.0656
sweep_01.s2p,600270000.0,-0.5113,-16.3781,0.5113,58.897
sweep_01.s2p,630268500.0,-0.5471,-15.7889,0.5471,59.4777
sweep_01.s2p,660267000.0,-0.5741,-15.3718,0.5741,59.8078
sweep_01.s2p,690265500.0,-0.5987,-15.3175,0.5987,59.7955
sweep_01.s2p,720264000.0,-0.605,-15.5193,0.605,59.3626
sweep_01.s2p,750262500.0,-0.6066,-15.7378,0.6066,58.9556
sweep_01.s2p,780261000.0,-0.6662,-16.4903,0.6662,57.1661
sweep_01.s2p,810259500.0,-0.6243,-18.123,0.6243,54.9024
sweep_01.s2p,840258000.0,-0.5365,-19.4477,0.5365,52.6864
sweep_01.s2p,870256500.0,-0.4932,-19.9502,0.4932,50.1609
sweep_01.s2p,900255000.0,-0.5066,-20.3219,0.5066,47.414
sweep_01.s2p,930253500.0,-0.5439,-19.314,0.5439,44.2706
sweep_01.s2p,960252000.0,-0.5864,-17.4972,0.5864,40.5674
sweep_01.s2p,990250500.0,-0.6463,-15.4259,0.6463,36.3167
sweep_01.s2p,1020249000.0,-0.7126,-13.4694,0.7126,31.195
sweep_01.s2p,1050247500.0,-0.8259,-11.9798,0.8259,25.1848
sweep_01.s2p,1080246000.0,-0.9427,-10.8461,0.9427,17.5641
sweep_01.s2p,1110244500.0,-1.0471,-10.0618,1.0471,8.3387
sweep_01.s2p,1140243000.0,-1.1397,-9.405,1.1397,5.7199
sweep_01.s2p,1170241500.0,-1.2152,-8.8857,1.2152,5.4849
sweep_01.s2p,1200240000.0,-1.267,-8.4909,1.267,5.9263
sweep_01.s2p,1230238500.0,-1.3081,-8.2849,1.3081,7.0829
sweep_01.s2p,1260237000.0,-1.3408,-8.2813,1.3408,10.0182
sweep_01.s2p,1290235500.0,-1.3281,-8.4683,1.3281,16.8347
