phase,vth,polarity,hits,errors
0,0,0,16277,0
0,0,1,16601,0
0,2,0,16194,0
0,2,1,16532,0
0,4,0,16196,0
0,4,1,16475,1
0,6,0,16248,1
0,6,1,16435,5
0,8,0,16330,26
0,8,1,16561,50
0,10,0,16299,142
0,10,1,16656,163
0,12,0,16184,492
0,12,1,16506,734
0,14,0,16232,1464
0,14,1,16478,1689
0,16,0,16206,2897
0,16,1,16548,3525
0,18,0,16287,4553
0,18,1,16511,5301
0,20,0,16333,6356
0,20,1,16569,7165
0,22,0,16217,7704
0,22,1,16487,8316
0,24,0,16346,8540
0,24,1,16457,8942
0,26,0,16173,9013
0,26,1,16324,9110
0,28,0,16084,9331
0,28,1,16410,9385
0,30,0,16232,10248
0,30,1,16476,10041
0,32,0,16245,11364
0,32,1,16356,11159
0,34,0,16156,13019
0,34,1,16417,13224
0,36,0,16325,14624
0,36,1,16408,14909
0,38,0,16308,15655
0,38,1,16458,16055
0,40,0,16284,16093
0,40,1,16410,16338
0,42,0,16312,16286
0,42,1,16402,16399
0,44,0,16279,16279
0,44,1,16402,16402
0,46,0,16202,16202
0,46,1,16462,16462
0,48,0,16302,16302
0,48,1,16434,16434
0,50,0,16196,16196
0,50,1,16297,16297
0,52,0,16215,16215
0,52,1,16435,16435
0,54,0,16346,16346
0,54,1,16485,16485
0,56,0,16287,16287
0,56,1,16401,16401
0,58,0,16208,16208
0,58,1,16497,16497
0,60,0,16228,16228
0,60,1,16477,16477
0,62,0,16208,16208
0,62,1,16509,16509
2,0,0,16276,0
2,0,1,16462,0
2,2,0,16233,0
2,2,1,16550,0
2,4,0,16432,0
2,4,1,16626,0
2,6,0,16235,0
2,6,1,16488,6
2,8,0,16312,20
2,8,1,16599,38
2,10,0,16224,165
2,10,1,16507,206
2,12,0,16255,574
2,12,1,16449,767
2,14,0,16208,1359
2,14,1,16537,1778
2,16,0,16226,2835
2,16,1,16558,3612
2,18,0,16274,4567
2,18,1,16504,5428
2,20,0,16254,6324
2,20,1,16602,7277
2,22,0,16229,7585
2,22,1,16537,8385
2,24,0,16212,8441
2,24,1,16498,8973
2,26,0,16156,9001
2,26,1,16470,9233
2,28,0,16274,9472
2,28,1,16501,9406
2,30,0,16201,10149
2,30,1,16380,9999
2,32,0,16204,11355
2,32,1,16451,11353
2,34,0,16229,12940
2,34,1,16467,13170
2,36,0,16365,14550
2,36,1,16464,14998
2,38,0,16306,15628
2,38,1,16414,16015
2,40,0,16181,16020
2,40,1,16462,16370
2,42,0,16246,16223
2,42,1,16425,16420
2,44,0,16256,16256
2,44,1,16429,16429
2,46,0,16263,16263
2,46,1,16490,16490
2,48,0,16252,16252
2,48,1,16468,16468
2,50,0,16149,16149
2,50,1,16397,16397
2,52,0,16245,16245
2,52,1,16398,16398
2,54,0,16320,16320
2,54,1,16495,16495
2,56,0,16201,16201
2,56,1,16427,16427
2,58,0,16217,16217
2,58,1,16476,16476
2,60,0,16327,16327
2,60,1,16487,16487
2,62,0,16322,16322
2,62,1,16458,16458
4,0,0,16260,0
4,0,1,16530,0
4,2,0,16199,0
4,2,1,16525,0
4,4,0,16254,0
4,4,1,16470,0
4,6,0,16193,0
4,6,1,16512,3
4,8,0,16254,27
4,8,1,16564,50
4,10,0,16251,143
4,10,1,16476,216
4,12,0,16325,603
4,12,1,16404,719
4,14,0,16275,1401
4,14,1,16510,1775
4,16,0,16279,2792
4,16,1,16435,3386
4,18,0,16334,4631
4,18,1,16515,5327
4,20,0,16365,6474
4,20,1,16415,7141
4,22,0,16235,7637
4,22,1,16526,8422
4,24,0,16168,8515
4,24,1,16612,9016
4,26,0,16319,9042
4,26,1,16435,9217
4,28,0,16312,9455
4,28,1,16530,9459
4,30,0,16214,10127
4,30,1,16457,9989
4,32,0,16285,11306
4,32,1,16438,11284
4,34,0,16265,12915
4,34,1,16417,13230
4,36,0,16259,14512
4,36,1,16468,15037
4,38,0,16239,15600
4,38,1,16490,16077
4,40,0,16257,16092
4,40,1,16369,16307
4,42,0,16288,16262
4,42,1,16462,16458
4,44,0,16210,16207
4,44,1,16465,16465
4,46,0,16265,16265
4,46,1,16404,16404
4,48,0,16347,16347
4,48,1,16367,16367
4,50,0,16221,16221
4,50,1,16428,16428
4,52,0,16252,16252
4,52,1,16389,16389
4,54,0,16304,16304
4,54,1,16498,16498
4,56,0,16288,16288
4,56,1,16439,16439
4,58,0,16244,16244
4,58,1,16477,16477
4,60,0,16296,16296
4,60,1,16474,16474
4,62,0,16196,16196
4,62,1,16433,16433
6,0,0,16199,0
6,0,1,16505,0
6,2,0,16229,0
6,2,1,16542,0
6,4,0,16299,0
6,4,1,16508,0
6,6,0,16296,1
6,6,1,16561,5
6,8,0,16191,26
6,8,1,16505,40
6,10,0,16243,140
6,10,1,16597,228
6,12,0,16191,529
6,12,1,16561,741
6,14,0,16312,1416
6,14,1,16533,1757
6,16,0,16190,2863
6,16,1,16504,3425
6,18,0,16264,4559
6,18,1,16465,5443
6,20,0,16260,6300
6,20,1,16485,7182
6,22,0,16291,7602
6,22,1,16473,8341
6,24,0,16261,8526
6,24,1,16537,8983
6,26,0,16254,8999
6,26,1,16578,9275
6,28,0,16293,9444
6,28,1,16407,9356
6,30,0,16303,10194
6,30,1,16433,9985
6,32,0,16152,11245
6,32,1,16368,11137
6,34,0,16291,12969
6,34,1,16425,13192
6,36,0,16288,14601
6,36,1,16367,14968
6,38,0,16234,15666
6,38,1,16471,16043
6,40,0,16275,16120
6,40,1,16447,16368
6,42,0,16196,16171
6,42,1,16459,16455
6,44,0,16268,16267
6,44,1,16454,16454
6,46,0,16148,16148
6,46,1,16395,16395
6,48,0,16381,16381
6,48,1,16524,16524
6,50,0,16248,16248
6,50,1,16431,16431
6,52,0,16274,16274
6,52,1,16433,16433
6,54,0,16296,16296
6,54,1,16551,16551
6,56,0,16244,16244
6,56,1,16413,16413
6,58,0,16254,16254
6,58,1,16482,16482
6,60,0,16240,16240
6,60,1,16493,16493
6,62,0,16319,16319
6,62,1,16422,16422
8,0,0,16266,0
8,0,1,16540,0
8,2,0,16392,0
8,2,1,16480,0
8,4,0,16145,1
8,4,1,16497,0
8,6,0,16247,1
8,6,1,16572,7
8,8,0,16261,26
8,8,1,16502,48
8,10,0,16232,149
8,10,1,16547,203
8,12,0,16162,552
8,12,1,16399,683
8,14,0,16155,1458
8,14,1,16588,1817
8,16,0,16228,2896
8,16,1,16546,3327
8,18,0,16209,4632
8,18,1,16485,5431
8,20,0,16297,6383
8,20,1,16470,7110
8,22,0,16313,7656
8,22,1,16577,8460
8,24,0,16203,8589
8,24,1,16463,8976
8,26,0,16209,8959
8,26,1,16337,9227
8,28,0,16267,9433
8,28,1,16394,9336
8,30,0,16222,10111
8,30,1,16475,10034
8,32,0,16193,11244
8,32,1,16423,11318
8,34,0,16307,13067
8,34,1,16531,13263
8,36,0,16316,14629
8,36,1,16426,15001
8,38,0,16309,15704
8,38,1,16391,16012
8,40,0,16322,16147
8,40,1,16397,16322
8,42,0,16206,16186
8,42,1,16462,16453
8,44,0,16310,16308
8,44,1,16494,16494
8,46,0,16351,16351
8,46,1,16335,16335
8,48,0,16161,16161
8,48,1,16458,16458
8,50,0,16279,16279
8,50,1,16353,16353
8,52,0,16208,16208
8,52,1,16465,16465
8,54,0,16299,16299
8,54,1,16416,16416
8,56,0,16249,16249
8,56,1,16447,16447
8,58,0,16297,16297
8,58,1,16413,16413
8,60,0,16214,16214
8,60,1,16431,16431
8,62,0,16208,16208
8,62,1,16434,16434
10,0,0,16247,0
10,0,1,16562,0
10,2,0,16208,0
10,2,1,16466,0
10,4,0,16204,0
10,4,1,16468,0
10,6,0,16257,5
10,6,1,16530,4
10,8,0,16310,25
10,8,1,16559,47
10,10,0,16228,140
10,10,1,16571,210
10,12,0,16198,540
10,12,1,16546,745
10,14,0,16209,1451
10,14,1,16555,1783
10,16,0,16202,2850
10,16,1,16467,3433
10,18,0,16288,4664
10,18,1,16467,5423
10,20,0,16308,6428
10,20,1,16431,7122
10,22,0,16262,7652
10,22,1,16516,8481
10,24,0,16282,8550
10,24,1,16537,8995
10,26,0,16258,8964
10,26,1,16317,9188
10,28,0,16303,9509
10,28,1,16450,9390
10,30,0,16257,10128
10,30,1,16550,10040
10,32,0,16305,11389
10,32,1,16509,11308
10,34,0,16221,12889
10,34,1,16613,13345
10,36,0,16277,14603
10,36,1,16399,14920
10,38,0,16227,15638
10,38,1,16459,16081
10,40,0,16303,16143
10,40,1,16399,16317
10,42,0,16286,16269
10,42,1,16552,16549
10,44,0,16240,16239
10,44,1,16479,16479
10,46,0,16240,16240
10,46,1,16360,16360
10,48,0,16269,16269
10,48,1,16457,16457
10,50,0,16216,16216
10,50,1,16485,16485
10,52,0,16159,16159
10,52,1,16339,16339
10,54,0,16280,16280
10,54,1,16410,16410
10,56,0,16192,16192
10,56,1,16444,16444
10,58,0,16222,16222
10,58,1,16391,16391
10,60,0,16251,16251
10,60,1,16448,16448
10,62,0,16126,16126
10,62,1,16466,16466
12,0,0,16154,0
12,0,1,16491,0
12,2,0,16308,0
12,2,1,16559,0
12,4,0,16198,0
12,4,1,16528,0
12,6,0,16243,2
12,6,1,16451,5
12,8,0,16252,21
12,8,1,16553,42
12,10,0,16194,158
12,10,1,16586,216
12,12,0,16339,537
12,12,1,16435,753
12,14,0,16323,1386
12,14,1,16390,1819
12,16,0,16229,2886
12,16,1,16585,3529
12,18,0,16180,4541
12,18,1,16485,5426
12,20,0,16244,6306
12,20,1,16534,7215
12,22,0,16285,7572
12,22,1,16542,8345
12,24,0,16238,8564
12,24,1,16583,8962
12,26,0,16275,9046
12,26,1,16468,9162
12,28,0,16300,9417
12,28,1,16393,9364
12,30,0,16257,10154
12,30,1,16457,10060
12,32,0,16314,11401
12,32,1,16509,11467
12,34,0,16188,12999
12,34,1,16486,13247
12,36,0,16257,14568
12,36,1,16453,15020
12,38,0,16289,15672
12,38,1,16406,16007
12,40,0,16305,16151
12,40,1,16352,16284
12,42,0,16219,16201
12,42,1,16499,16496
12,44,0,16174,16173
12,44,1,16292,16292
12,46,0,16284,16284
12,46,1,16398,16398
12,48,0,16218,16218
12,48,1,16455,16455
12,50,0,16222,16222
12,50,1,16453,16453
12,52,0,16263,16263
12,52,1,16474,16474
12,54,0,16143,16143
12,54,1,16508,16508
12,56,0,16274,16274
12,56,1,16471,16471
12,58,0,16184,16184
12,58,1,16372,16372
12,60,0,16217,16217
12,60,1,16459,16459
12,62,0,16213,16213
12,62,1,16478,16478
14,0,0,16097,0
14,0,1,16487,0
14,2,0,16252,0
14,2,1,16578,0
14,4,0,16249,0
14,4,1,16426,1
14,6,0,16336,4
14,6,1,16551,5
14,8,0,16313,22
14,8,1,16515,39
14,10,0,16326,155
14,10,1,16590,223
14,12,0,16278,560
14,12,1,16503,726
14,14,0,16373,1386
14,14,1,16668,1815
14,16,0,16302,2858
14,16,1,16482,3542
14,18,0,16180,4565
14,18,1,16552,5487
14,20,0,16196,6260
14,20,1,16491,7327
14,22,0,16248,7652
14,22,1,16598,8332
14,24,0,16239,8530
14,24,1,16557,9026
14,26,0,16241,9084
14,26,1,16430,9205
14,28,0,16140,9366
14,28,1,16451,9416
14,30,0,16170,10118
14,30,1,16438,10025
14,32,0,16271,11392
14,32,1,16325,11242
14,34,0,16336,13075
14,34,1,16516,13128
14,36,0,16292,14573
14,36,1,16414,14942
14,38,0,16261,15628
14,38,1,16462,16056
14,40,0,16274,16116
14,40,1,16408,16328
14,42,0,16263,16240
14,42,1,16481,16475
14,44,0,16256,16253
14,44,1,16367,16367
14,46,0,16375,16375
14,46,1,16459,16459
14,48,0,16225,16225
14,48,1,16475,16475
14,50,0,16270,16270
14,50,1,16436,16436
14,52,0,16313,16313
14,52,1,16455,16455
14,54,0,16194,16194
14,54,1,16302,16302
14,56,0,16231,16231
14,56,1,16347,16347
14,58,0,16217,16217
14,58,1,16393,16393
14,60,0,16218,16218
14,60,1,16369,16369
14,62,0,16265,16265
14,62,1,16422,16422
16,0,0,16206,0
16,0,1,16498,0
16,2,0,16292,0
16,2,1,16515,0
16,4,0,16241,0
16,4,1,16425,0
16,6,0,16319,2
16,6,1,16538,4
16,8,0,16211,25
16,8,1,16556,43
16,10,0,16251,166
16,10,1,16529,222
16,12,0,16324,580
16,12,1,16407,685
16,14,0,16336,1454
16,14,1,16471,1735
16,16,0,16357,2900
16,16,1,16500,3414
16,18,0,16330,4669
16,18,1,16394,5358
16,20,0,16214,6436
16,20,1,16572,7246
16,22,0,16120,7630
16,22,1,16550,8456
16,24,0,16251,8529
16,24,1,16514,9009
16,26,0,16240,9069
16,26,1,16359,9205
16,28,0,16333,9511
16,28,1,16415,9422
16,30,0,16280,10207
16,30,1,16648,10148
16,32,0,16217,11353
16,32,1,16435,11298
16,34,0,16234,13117
16,34,1,16450,13249
16,36,0,16225,14707
16,36,1,16423,15011
16,38,0,16231,15646
16,38,1,16488,16127
16,40,0,16225,16078
16,40,1,16369,16312
16,42,0,16315,16285
16,42,1,16329,16326
16,44,0,16198,16196
16,44,1,16373,16373
16,46,0,16313,16313
16,46,1,16432,16432
16,48,0,16294,16294
16,48,1,16415,16415
