phase,vth,polarity,hits,errors
0,0,0,16314,0
0,0,1,16490,0
0,2,0,16216,0
0,2,1,16531,0
0,4,0,16239,0
0,4,1,16428,0
0,6,0,16164,0
0,6,1,16502,0
0,8,0,16196,0
0,8,1,16357,0
0,10,0,16301,5
0,10,1,16584,0
0,12,0,16206,40
0,12,1,16538,25
0,14,0,16230,240
0,14,1,16663,135
0,16,0,16204,746
0,16,1,16515,540
0,18,0,16264,1732
0,18,1,16406,1349
0,20,0,16258,2682
0,20,1,16463,2458
0,22,0,16257,3810
0,22,1,16605,3751
0,24,0,16321,4997
0,24,1,16460,4852
0,26,0,16190,6503
0,26,1,16577,6367
0,28,0,16270,8328
0,28,1,16497,8386
0,30,0,16271,10536
0,30,1,16537,10635
0,32,0,16345,12068
0,32,1,16078,12098
0,34,0,16312,13620
0,34,1,16073,12842
0,36,0,16261,14569
0,36,1,16090,13821
0,38,0,16296,15551
0,38,1,16154,15174
0,40,0,16215,16003
0,40,1,16220,15964
0,42,0,16338,16305
0,42,1,16045,16037
0,44,0,16352,16352
0,44,1,16157,16157
0,46,0,16197,16197
0,46,1,16103,16103
0,48,0,16131,16131
0,48,1,16068,16068
0,50,0,16236,16236
0,50,1,16066,16066
0,52,0,16286,16286
0,52,1,16120,16120
0,54,0,16216,16216
0,54,1,16031,16031
0,56,0,16195,16195
0,56,1,16102,16102
0,58,0,16267,16267
0,58,1,16093,16093
0,60,0,16225,16225
0,60,1,16012,16012
0,62,0,16299,16299
0,62,1,16142,16142
2,0,0,16227,0
2,0,1,16583,0
2,2,0,16274,0
2,2,1,16459,0
2,4,0,16293,0
2,4,1,16459,0
2,6,0,16286,0
2,6,1,16525,0
2,8,0,16207,0
2,8,1,16532,0
2,10,0,16385,1
2,10,1,16469,1
2,12,0,16266,55
2,12,1,16576,28
2,14,0,16236,233
2,14,1,16462,149
2,16,0,16234,728
2,16,1,16574,533
2,18,0,16329,1648
2,18,1,16515,1403
2,20,0,16344,2758
2,20,1,16385,2567
2,22,0,16230,3709
2,22,1,16560,3780
2,24,0,16277,4986
2,24,1,16465,4745
2,26,0,16214,6507
2,26,1,16468,6111
2,28,0,16265,8511
2,28,1,16525,8356
2,30,0,16203,10780
2,30,1,16472,10864
2,32,0,16303,12396
2,32,1,16067,11838
2,34,0,16172,13620
2,34,1,16162,12806
2,36,0,16230,14606
2,36,1,16146,14081
2,38,0,16328,15642
2,38,1,16145,15122
2,40,0,16349,16098
2,40,1,16071,15806
2,42,0,16327,16299
2,42,1,16080,16062
2,44,0,16372,16372
2,44,1,16235,16235
2,46,0,16316,16316
2,46,1,16230,16230
2,48,0,16252,16252
2,48,1,15998,15998
2,50,0,16274,16274
2,50,1,16183,16183
2,52,0,16224,16224
2,52,1,16032,16032
2,54,0,16270,16270
2,54,1,16025,16025
2,56,0,16241,16241
2,56,1,15948,15948
2,58,0,16151,16151
2,58,1,16084,16084
2,60,0,16318,16318
2,60,1,16098,16098
2,62,0,16134,16134
2,62,1,16131,16131
4,0,0,16120,0
4,0,1,16637,0
4,2,0,16207,0
4,2,1,16411,0
4,4,0,16206,0
4,4,1,16555,0
4,6,0,16390,0
4,6,1,16488,0
4,8,0,16256,0
4,8,1,16502,0
4,10,0,16260,4
4,10,1,16559,2
4,12,0,16238,46
4,12,1,16601,33
4,14,0,16286,264
4,14,1,16399,146
4,16,0,16156,809
4,16,1,16549,600
4,18,0,16208,1749
4,18,1,16544,1465
4,20,0,16215,2780
4,20,1,16567,2751
4,22,0,16181,3940
4,22,1,16604,3878
4,24,0,16231,5115
4,24,1,16509,4955
4,26,0,16189,6626
4,26,1,16417,6435
4,28,0,16240,8671
4,28,1,16439,8651
4,30,0,16318,10903
4,30,1,16194,10667
4,32,0,16120,12309
4,32,1,16056,11573
4,34,0,16674,13723
4,34,1,16148,12654
4,36,0,16184,14645
4,36,1,16125,13970
4,38,0,16278,15551
4,38,1,16031,15055
4,40,0,16309,16103
4,40,1,16163,15950
4,42,0,16293,16272
4,42,1,16023,16015
4,44,0,16238,16238
4,44,1,16046,16046
4,46,0,16184,16184
4,46,1,16162,16162
4,48,0,16151,16151
4,48,1,16093,16093
4,50,0,16270,16270
4,50,1,16171,16171
4,52,0,16358,16358
4,52,1,16118,16118
4,54,0,16270,16270
4,54,1,16006,16006
4,56,0,16269,16269
4,56,1,16076,16076
4,58,0,16268,16268
4,58,1,16133,16133
4,60,0,16354,16354
4,60,1,16106,16106
4,62,0,16346,16346
4,62,1,16024,16024
6,0,0,16137,0
6,0,1,16564,0
6,2,0,16276,0
6,2,1,16608,0
6,4,0,16241,0
6,4,1,16516,0
6,6,0,16198,0
6,6,1,16578,0
6,8,0,16281,0
6,8,1,16559,0
6,10,0,16298,6
6,10,1,16542,0
6,12,0,16318,41
6,12,1,16560,42
6,14,0,16274,299
6,14,1,16398,177
6,16,0,16192,812
6,16,1,16534,653
6,18,0,16299,1848
6,18,1,16583,1556
6,20,0,16233,2992
6,20,1,16592,2846
6,22,0,16291,4241
6,22,1,16602,4163
6,24,0,16237,5400
6,24,1,16458,5338
6,26,0,16287,6919
6,26,1,16509,6909
6,28,0,16220,8852
6,28,1,16523,8751
6,30,0,16341,11022
6,30,1,16070,10341
6,32,0,16575,12340
6,32,1,16105,11476
6,34,0,16188,13609
6,34,1,16157,12649
6,36,0,16238,14703
6,36,1,16252,14083
6,38,0,16262,15580
6,38,1,16169,15187
6,40,0,16255,16065
6,40,1,16084,15922
6,42,0,16207,16193
6,42,1,16099,16085
6,44,0,16169,16169
6,44,1,16145,16145
6,46,0,16260,16260
6,46,1,16040,16040
6,48,0,16268,16268
6,48,1,16102,16102
6,50,0,16350,16350
6,50,1,16043,16043
6,52,0,16210,16210
6,52,1,16100,16100
6,54,0,16355,16355
6,54,1,16173,16173
6,56,0,16132,16132
6,56,1,16027,16027
6,58,0,16400,16400
6,58,1,16119,16119
6,60,0,16226,16226
6,60,1,16102,16102
6,62,0,16296,16296
6,62,1,16145,16145
8,0,0,16239,0
8,0,1,16538,0
8,2,0,16282,0
8,2,1,16546,0
8,4,0,16207,0
8,4,1,16452,0
8,6,0,16242,0
8,6,1,16591,0
8,8,0,16162,0
8,8,1,16516,1
8,10,0,16182,10
8,10,1,16500,5
8,12,0,16200,78
8,12,1,16581,39
8,14,0,16251,365
8,14,1,16538,211
8,16,0,16203,1025
8,16,1,16602,719
8,18,0,16262,1991
8,18,1,16591,1760
8,20,0,16239,3348
8,20,1,16499,3078
8,22,0,16253,4630
8,22,1,16571,4655
8,24,0,16143,6050
8,24,1,16466,5961
8,26,0,16258,7720
8,26,1,16482,7646
8,28,0,16160,9245
8,28,1,16518,9172
8,30,0,16628,10783
8,30,1,16161,10029
8,32,0,16688,12078
8,32,1,16004,10985
8,34,0,16654,13460
8,34,1,16056,12315
8,36,0,16612,14773
8,36,1,15962,13794
8,38,0,16230,15636
8,38,1,16138,15157
8,40,0,16353,16170
8,40,1,16147,15968
8,42,0,16233,16213
8,42,1,16099,16086
8,44,0,16271,16271
8,44,1,16051,16051
8,46,0,16197,16197
8,46,1,16145,16145
8,48,0,16139,16139
8,48,1,16031,16031
8,50,0,16299,16299
8,50,1,16206,16206
8,52,0,16227,16227
8,52,1,16082,16082
8,54,0,16243,16243
8,54,1,16150,16150
8,56,0,16123,16123
8,56,1,16063,16063
8,58,0,16212,16212
8,58,1,16079,16079
8,60,0,16375,16375
8,60,1,16119,16119
8,62,0,16288,16288
8,62,1,16055,16055
10,0,0,16217,0
10,0,1,16557,0
10,2,0,16212,0
10,2,1,16567,0
10,4,0,16255,0
10,4,1,16574,0
10,6,0,16220,0
10,6,1,16390,0
10,8,0,16243,1
10,8,1,16564,0
10,10,0,16226,13
10,10,1,16444,13
10,12,0,16333,88
10,12,1,16611,62
10,14,0,16359,419
10,14,1,16527,265
10,16,0,16204,1198
10,16,1,16593,824
10,18,0,16329,2368
10,18,1,16534,1968
10,20,0,16173,3755
10,20,1,16530,3513
10,22,0,16202,5009
10,22,1,16483,5061
10,24,0,16187,6451
10,24,1,16479,6601
10,26,0,16255,7907
10,26,1,16506,7885
10,28,0,16178,9230
10,28,1,16418,9100
10,30,0,16594,10421
10,30,1,16100,9751
10,32,0,16549,11728
10,32,1,16188,10866
10,34,0,16660,13238
10,34,1,16032,12062
10,36,0,16369,14817
10,36,1,16172,13756
10,38,0,16245,15549
10,38,1,16138,15173
10,40,0,16274,16092
10,40,1,16049,15889
10,42,0,16317,16296
10,42,1,16085,16082
10,44,0,16239,16239
10,44,1,16162,16162
10,46,0,16215,16215
10,46,1,16024,16024
10,48,0,16282,16282
10,48,1,16098,16098
10,50,0,16183,16183
10,50,1,16091,16091
10,52,0,16194,16194
10,52,1,16083,16083
10,54,0,16259,16259
10,54,1,16119,16119
10,56,0,16257,16257
10,56,1,16122,16122
10,58,0,16186,16186
10,58,1,16223,16223
10,60,0,16197,16197
10,60,1,16196,16196
10,62,0,16245,16245
10,62,1,16057,16057
12,0,0,16235,0
12,0,1,16545,0
12,2,0,16245,0
12,2,1,16465,0
12,4,0,16165,0
12,4,1,16442,0
12,6,0,16252,0
12,6,1,16524,0
12,8,0,16127,3
12,8,1,16532,1
12,10,0,16265,24
12,10,1,16636,9
12,12,0,16289,158
12,12,1,16511,77
12,14,0,16270,524
12,14,1,16513,323
12,16,0,16225,1410
12,16,1,16427,1021
12,18,0,16141,2713
12,18,1,16502,2348
12,20,0,16218,4109
12,20,1,16549,4030
12,22,0,16169,5626
12,22,1,16502,5635
12,24,0,16124,7085
12,24,1,16508,7360
12,26,0,16238,8338
12,26,1,16661,8469
12,28,0,16365,9421
12,28,1,16094,8916
12,30,0,16647,10276
12,30,1,16091,9528
12,32,0,16732,11575
12,32,1,16179,10643
12,34,0,16759,13217
12,34,1,16070,11853
12,36,0,16243,14588
12,36,1,16079,13899
12,38,0,16161,15541
12,38,1,16181,15285
12,40,0,16175,16008
12,40,1,16111,15954
12,42,0,16326,16305
12,42,1,16142,16138
12,44,0,16150,16150
12,44,1,16167,16167
12,46,0,16358,16358
12,46,1,16105,16105
12,48,0,16278,16278
12,48,1,15989,15989
12,50,0,16343,16343
12,50,1,16045,16045
12,52,0,16231,16231
12,52,1,16099,16099
12,54,0,16320,16320
12,54,1,16030,16030
12,56,0,16245,16245
12,56,1,16046,16046
12,58,0,16297,16297
12,58,1,16236,16236
12,60,0,16208,16208
12,60,1,16018,16018
12,62,0,16309,16309
12,62,1,16144,16144
14,0,0,16248,0
14,0,1,16598,0
14,2,0,16240,0
14,2,1,16566,0
14,4,0,16293,0
14,4,1,16461,0
14,6,0,16330,0
14,6,1,16468,0
14,8,0,16306,1
14,8,1,16565,3
14,10,0,16278,35
14,10,1,16546,18
14,12,0,16307,206
14,12,1,16492,139
14,14,0,16294,708
14,14,1,16517,500
14,16,0,16274,1693
14,16,1,16466,1386
14,18,0,16283,3101
14,18,1,16595,2903
14,20,0,16248,4879
14,20,1,16540,4605
14,22,0,16169,6380
14,22,1,16553,6596
14,24,0,16248,7640
14,24,1,16542,7944
14,26,0,16150,8575
14,26,1,16220,8822
14,28,0,16168,9323
14,28,1,16047,8786
14,30,0,16578,10011
14,30,1,16133,9360
14,32,0,16712,11270
14,32,1,16263,10389
14,34,0,16626,12890
14,34,1,16091,11921
14,36,0,16296,14655
14,36,1,16130,13568
14,38,0,16240,15583
14,38,1,16114,15154
14,40,0,16113,15949
14,40,1,16142,15980
14,42,0,16296,16273
14,42,1,16123,16116
14,44,0,16221,16221
14,44,1,16191,16191
14,46,0,16201,16201
14,46,1,16146,16146
14,48,0,16170,16170
14,48,1,16169,16169
14,50,0,16202,16202
14,50,1,16154,16154
14,52,0,16310,16310
14,52,1,15998,15998
14,54,0,16280,16280
14,54,1,16078,16078
14,56,0,16233,16233
14,56,1,16129,16129
14,58,0,16196,16196
14,58,1,16153,16153
14,60,0,16255,16255
14,60,1,16050,16050
14,62,0,16195,16195
14,62,1,16173,16173
16,0,0,16236,0
16,0,1,16567,0
16,2,0,16228,0
16,2,1,16567,0
16,4,0,16365,0
16,4,1,16555,0
16,6,0,16324,0
16,6,1,16513,0
16,8,0,16218,9
16,8,1,16511,4
16,10,0,16292,60
16,10,1,16422,40
16,12,0,16207,322
16,12,1,16560,222
16,14,0,16236,1042
16,14,1,16412,768
16,16,0,16272,2264
16,16,1,16592,1938
16,18,0,16199,3999
16,18,1,16370,3742
16,20,0,16264,5678
16,20,1,16594,5726
16,22,0,16233,7268
16,22,1,16466,7408
16,24,0,16184,8241
16,24,1,16562,8554
16,26,0,16254,8926
16,26,1,16213,8800
16,28,0,16604,9223
16,28,1,16138,8810
16,30,0,16719,9990
16,30,1,16202,9146
16,32,0,16619,10990
16,32,1,16135,10081
16,34,0,16656,12745
16,34,1,16058,11613
16,36,0,16253,14592
16,36,1,16171,13519
16,38,0,16176,15491
16,38,1,16242,15328
16,40,0,16317,16128
16,40,1,16181,16027
16,42,0,16155,16132
16,42,1,16056,16049
16,44,0,16287,16287
16,44,1,16074,16074
16,46,0,16190,16190
16,46,1,16095,16095
16,48,0,16299,16299
16,48,1,16086,16086
16,50,0,16328,16328
16,50,1,16124,16124
16,52,0,16246,16246
16,52,1,16096,16096
16,54,0,16341,16341
16,54,1,16151,16151
16,56,0,16243,16243
16,56,1,16216,16216
16,58,0,16243,16243
16,58,1,16075,16075
16,60,0,16223,16223
16,60,1,16191,16191
16,62,0,16203,16203
16,62,1,16077,16077
18,0,0,16132,0
18,0,1,16630,0
18,2,0,16177,0
18,2,1,16366,0
18,4,0,16290,0
18,4,1,16591,0
18,6,0,16325,2
18,6,1,16550,0
18,8,0,16201,14
18,8,1,16571,11
18,10,0,16202,104
18,10,1,16496,64
18,12,0,16240,501
18,12,1,16482,410
18,14,0,16248,1380
18,14,1,16529,1103
18,16,0,16283,2916
18,16,1,16514,2529
18,18,0,16179,4702
18,18,1,16644,4540
18,20,0,16136,6500
18,20,1,16521,6575
18,22,0,16250,7729
18,22,1,16539,8101
18,24,0,16164,8556
18,24,1,16045,8687
18,26,0,16252,9075
18,26,1,16177,8762
18,28,0,16672,9229
18,28,1,15999,8642
18,30,0,16609,9709
18,30,1,16191,9083
18,32,0,16502,10723
18,32,1,16188,9897
18,34,0,16603,12548
18,34,1,16030,11448
18,36,0,16221,14351
18,36,1,16244,13701
18,38,0,16260,15576
18,38,1,16021,15049
18,40,0,16232,16040
18,40,1,16053,15927
18,42,0,16139,16114
18,42,1,16062,16059
18,44,0,16148,16146
18,44,1,16099,16099
18,46,0,16159,16159
18,46,1,16213,16213
18,48,0,16253,16253
18,48,1,16199,16199
18,50,0,16255,16255
18,50,1,16025,16025
18,52,0,16252,16252
18,52,1,16142,16142
18,54,0,16214,16214
18,54,1,16076,16076
18,56,0,16234,16234
18,56,1,16195,16195
18,58,0,16245,16245
18,58,1,16127,16127
18,60,0,16250,16250
18,60,1,16142,16142
18,62,0,16098,16098
18,62,1,16099,16099
20,0,0,16272,0
20,0,1,16439,0
20,2,0,16305,0
20,2,1,16542,0
20,4,0,16164,0
20,4,1,16460,0
20,6,0,16191,4
20,6,1,16478,4
20,8,0,16177,50
20,8,1,16562,18
20,10,0,16318,242
20,10,1,16571,145
20,12,0,16287,779
20,12,1,16512,646
20,14,0,16236,1998
20,14,1,16495,1709
20,16,0,16336,3734
20,16,1,16596,3520
20,18,0,16153,5487
20,18,1,16582,5603
20,20,0,16189,7220
20,20,1,16453,7456
20,22,0,16259,8375
20,22,1,16503,8691
20,24,0,16234,8915
20,24,1,16216,8754
20,26,0,16707,9081
20,26,1,16035,8649
20,28,0,16739,9216
20,28,1,16206,8851
20,30,0,16701,9693
20,30,1,16090,8939
20,32,0,16738,10676
20,32,1,16258,9819
20,34,0,16719,12318
20,34,1,16174,11210
20,36,0,16349,14483
20,36,1,16075,13388
20,38,0,16218,15498
20,38,1,16168,15234
20,40,0,16236,16061
20,40,1,16083,15956
20,42,0,16303,16276
20,42,1,16171,16167
20,44,0,16306,16306
20,44,1,16012,16012
20,46,0,16265,16265
20,46,1,16120,16120
20,48,0,16233,16233
20,48,1,16168,16168
20,50,0,16171,16171
20,50,1,16109,16109
20,52,0,16115,16115
20,52,1,16070,16070
