filename,frequency_hz,s21_db,s11_db,attenuation_db,impedance_ohm
sweep_01.s2p,300000.0,-0.1649,-34.1785,0.1649,113.6588
sweep_01.s2p,30298500.0,-0.3388,-22.4798,0.3388,64.3042
sweep_01.s2p,60297000.0,-0.4519,-19.8659,0.4519,59.8132
sweep_01.s2p,90295500.0,-0.5404,-19.6901,0.5404,56.1756
sweep_01.s2p,120294000.0,-0.575,-21.1225,0.575,52.7453
sweep_01.s2p,150292500.0,-0.6822,-23.2184,0.6822,49.2939
sweep_01.s2p,180291000.0,-0.786,-21.6762,0.786,46.1677
sweep_01.s2p,210289500.0,-0.8998,-18.8913,0.8998,43.8069
sweep_01.s2p,240288000.0,-0.9864,-17.5139,0.9864,42.3936
sweep_01.s2p,270286500.0,-1.0297,-17.9981,1.0297,42.4631
sweep_01.s2p,300285000.0,-1.0514,-20.5153,1.0514,44.5701
sweep_01.s2p,330283500.0,-1.0858,-22.6205,1.0858,50.3295
sweep_01.s2p,360282000.0,-1.1904,-18.9457,1.1904,65.2713
sweep_01.s2p,390280500.0,-1.3345,-15.4839,1.3345,35.1614
sweep_01.s2p,420279000.0,-1.4658,-13.8492,1.4658,17.4759
sweep_01.s2p,450277500.0,-1.6501,-14.7099,1.6501,26.1533
sweep_01.s2p,480276000.0,-1.473,-17.8651,1.473,37.7996
sweep_01.s2p,510274500.0,-1.4147,-25.7263,1.4147,46.75
sweep_01.s2p,540273000.0,-1.4577,-22.5584,1.4577,55.2467
sweep_01.s2p,570271500.0,-1.7024,-14.8198,1.7024,63.0325
sweep_01.s2p,600270000.0,-1.9695,-11.8495,1.9695,69.0501
sweep_01.s2p,630268500.0,-2.1712,-11.0839,2.1712,71.7554
sweep_01.s2p,660267000.0,-2.2759,-12.2965,2.2759,69.4547
sweep_01.s2p,690265500.0,-2.4125,-16.281,2.4125,61.0131
sweep_01.s2p,720264000.0,-2.821,-17.0544,2.821,46.6912
sweep_01.s2p,750262500.0,-3.697,-11.102,3.697,36.0906
sweep_01.s2p,780261000.0,-4.9246,-8.2567,4.9246,42.0661
sweep_01.s2p,810259500.0,-5.4908,-8.4162,5.4908,56.6168
sweep_01.s2p,840258000.0,-5.8923,-10.6333,5.8923,76.9467
sweep_01.s2p,870256500.0,-5.8417,-17.2853,5.8417,60.5357
sweep_01.s2p,900255000.0,-5.14,-15.3429,5.14,45.0836
sweep_01.s2p,930253500.0,-4.448,-12.0656,4.448,44.7622
sweep_01.s2p,960252000.0,-3.7804,-12.4686,3.7804,48.8093
sweep_01.s2p,990250500.0,-3.2268,-15.4158,3.2268,46.3244
sweep_01.s2p,1020249000.0,-2.887,-17.3358,2.887,41.0991
sweep_01.s2p,1050247500.0,-2.772,-14.6962,2.772,37.3588
sweep_01.s2p,1080246000.0,-2.729,-13.0614,2.729,35.8856
sweep_01.s2p,1110244500.0,-2.6724,-13.2175,2.6724,36.7368
sweep_01.s2p,1140243000.0,-2.5593,-14.8629,2.5593,40.2791
sweep_01.s2p,1170241500.0,-2.508,-15.5146,2.508,47.2591
sweep_01.s2p,1200240000.0,-2.5697,-13.0738,2.5697,57.0431
sweep_01.s2p,1230238500.0,-2.7164,-10.6813,2.7164,48.2474
sweep_01.s2p,1260237000.0,-2.8463,-9.6414,2.8463,26.6701
sweep_01.s2p,1290235500.0,-2.823,-9.8613,2.823,21.679
sweep_01.s2p,1320234000.0,-2.7012,-11.2798,2.7012,28.1583
sweep_01.s2p,1350232500.0,-2.5743,-13.3462,2.5743,41.1072
sweep_01.s2p,1380231000.0,-2.5898,-13.1315,2.5898,53.6055
sweep_01.s2p,1410229500.0,-2.7783,-10.6045,2.7783,63.9544
sweep_01.s2p,1440228000.0,-2.9863,-8.94,2.9863,71.127
sweep_01.s2p,1470226500.0,-3.0549,-8.6015,3.0549,74.1567
sweep_01.s2p,1500225000.0,-2.9134,-9.601,2.9134,72.4982
sweep_01.s2p,1530223500.0,-2.7194,-11.9861,2.7194,66.3033
sweep_01.s2p,1560222000.0,-2.6391,-13.7869,2.6391,56.5193
sweep_01.s2p,1590220500.0,-2.7967,-11.4812,2.7967,44.5991
sweep_01.s2p,1620219000.0,-3.0924,-9.0199,3.0924,32.4855
sweep_01.s2p,1650217500.0,-3.2948,-8.0115,3.2948,24.9839
sweep_01.s2p,1680216000.0,-3.2604,-8.3174,3.2604,27.155
sweep_01.s2p,1710214500.0,-3.0467,-10.219,3.0467,42.4608
sweep_01.s2p,1740213000.0,-2.8367,-14.2358,2.8367,50.8534
sweep_01.s2p,1770211500.0,-2.8827,-14.8102,2.8827,42.8106
sweep_01.s2p,1800210000.0,-3.2361,-10.1969,3.2361,37.0514
sweep_01.s2p,1830208500.0,-3.6809,-7.6632,3.6809,34.2527
sweep_01.s2p,1860207000.0,-3.9209,-6.8066,3.9209,33.4185
sweep_01.s2p,1890205500.0,-3.8502,-7.3158,3.8502,34.3836
sweep_01.s2p,1920204000.0,-3.4872,-9.611,3.4872,37.5298
sweep_01.s2p,1950202500.0,-3.1923,-14.3983,3.1923,43.9457
sweep_01.s2p,1980201000.0,-3.3327,-12.4285,3.3327,55.0233
