filename,frequency_hz,s21_db,s11_db,attenuation_db,impedance_ohm
sweep_01.s2p,2460177000.0,-7.5677,-11.3593,7.5677,36.9982
sweep_01.s2p,2490175500.0,-7.7071,-10.9134,7.7071,35.5523
sweep_01.s2p,2520174000.0,-7.4931,-17.0643,7.4931,35.0137
sweep_01.s2p,2550172500.0,-7.8107,-11.9001,7.8107,34.454
sweep_01.s2p,2580171000.0,-8.1067,-9.7004,8.1067,37.4202
sweep_01.s2p,2610169500.0,-7.8928,-14.5071,7.8928,41.0625
sweep_01.s2p,2640168000.0,-8.0506,-13.1704,8.0506,33.4566
sweep_01.s2p,2670166500.0,-8.4235,-9.2086,8.4235,34.8967
sweep_01.s2p,2700165000.0,-8.2868,-12.5158,8.2868,43.7479
sweep_01.s2p,2730163500.0,-8.5134,-12.2709,8.5134,46.93
sweep_01.s2p,2760162000.0,-9.1392,-7.8737,9.1392,35.5056
sweep_01.s2p,2790160500.0,-8.9644,-9.3908,8.9644,43.8999
sweep_01.s2p,2820159000.0,-8.9121,-11.198,8.9121,66.742
sweep_01.s2p,2850157500.0,-9.5305,-7.2228,9.5305,87.3508
sweep_01.s2p,2880156000.0,-9.368,-7.6376,9.368,85.7473
sweep_01.s2p,2910154500.0,-8.8072,-10.9816,8.8072,81.4204
sweep_01.s2p,2940153000.0,-9.1518,-7.6054,9.1518,82.9747
sweep_01.s2p,2970151500.0,-9.2936,-6.8294,9.2936,79.7064
sweep_01.s2p,3000150000.0,-8.9217,-9.0226,8.9217,74.3035
sweep_01.s2p,3030148500.0,-9.3054,-7.7083,9.3054,74.1155
sweep_01.s2p,3060147000.0,-9.5977,-6.4969,9.5977,69.8033
sweep_01.s2p,3090145500.0,-9.1126,-8.5062,9.1126,60.6377
sweep_01.s2p,3120144000.0,-9.1191,-8.7137,9.1191,53.8212
sweep_01.s2p,3150142500.0,-9.6081,-6.584,9.6081,58.3679
sweep_01.s2p,3180141000.0,-9.3292,-7.8266,9.3292,52.7508
sweep_01.s2p,3210139500.0,-9.2802,-8.3854,9.2802,43.4125
sweep_01.s2p,3240138000.0,-9.9247,-6.121,9.9247,39.1811
sweep_01.s2p,3270136500.0,-9.7589,-6.8925,9.7589,41.3689
sweep_01.s2p,3300135000.0,-9.3802,-9.4141,9.3802,42.7163
sweep_01.s2p,3330133500.0,-9.8121,-7.2746,9.8121,44.7722
sweep_01.s2p,3360132000.0,-9.893,-7.3918,9.893,47.7811
sweep_01.s2p,3390130500.0,-9.7219,-9.9962,9.7219,47.2369
sweep_01.s2p,3420129000.0,-10.3403,-7.7406,10.3403,47.5641
sweep_01.s2p,3450127500.0,-10.4758,-7.6235,10.4758,51.9139
sweep_01.s2p,3480126000.0,-10.0081,-11.2852,10.0081,56.4796
sweep_01.s2p,3510124500.0,-10.1954,-9.3747,10.1954,53.6441
sweep_01.s2p,3540123000.0,-10.4301,-8.1598,10.4301,56.3435
sweep_01.s2p,3570121500.0,-10.215,-11.5374,10.215,68.5959
sweep_01.s2p,3600120000.0,-10.6982,-9.0208,10.6982,80.9779
sweep_01.s2p,3630118500.0,-11.2463,-7.0059,11.2463,82.5836
sweep_01.s2p,3660117000.0,-10.9275,-9.3597,10.9275,78.1008
sweep_01.s2p,3690115500.0,-11.0001,-9.343,11.0001,73.9189
sweep_01.s2p,3720114000.0,-11.5768,-6.4764,11.5768,67.5662
sweep_01.s2p,3750112500.0,-11.2574,-7.5422,11.2574,62.2197
sweep_01.s2p,3780111000.0,-10.966,-9.0928,10.966,64.5157
sweep_01.s2p,3810109500.0,-11.5429,-6.1249,11.5429,64.2205
sweep_01.s2p,3840108000.0,-11.4302,-6.0661,11.4302,59.3467
sweep_01.s2p,3870106500.0,-11.0197,-7.4583,11.0197,56.0808
sweep_01.s2p,3900105000.0,-11.5585,-5.5109,11.5585,58.3229
sweep_01.s2p,3930103500.0,-11.647,-4.9548,11.647,56.2153
sweep_01.s2p,3960102000.0,-11.2213,-5.8289,11.2213,51.4199
sweep_01.s2p,3990100500.0,-11.8229,-4.6726,11.8229,48.2496
sweep_01.s2p,4020099000.0,-12.2258,-4.1619,12.2258,48.4164
sweep_01.s2p,4050097500.0,-11.5989,-5.4303,11.5989,51.3058
sweep_01.s2p,4080096000.0,-11.5194,-5.7257,11.5194,57.3096
sweep_01.s2p,4110094500.0,-12.0122,-5.071,12.0122,62.6266
sweep_01.s2p,4140093000.0,-11.8149,-6.5246,11.8149,63.1098
sweep_01.s2p,4170091500.0,-12.0227,-6.7869,12.0227,61.4204
sweep_01.s2p,4200090000.0,-12.6682,-5.2659,12.6682,64.5964
sweep_01.s2p,4230088500.0,-12.4476,-5.9498,12.4476,68.3351
sweep_01.s2p,4260087000.0,-12.453,-6.6073,12.453,74.0728
sweep_01.s2p,4290085500.0,-13.305,-5.2712,13.305,83.0062
sweep_01.s2p,4320084000.0,-13.184,-5.8545,13.184,88.9585
sweep_01.s2p,4350082500.0,-12.5886,-8.0966,12.5886,83.2075
sweep_01.s2p,4380081000.0,-13.043,-6.3189,13.043,60.624
sweep_01.s2p,4410079500.0,-13.2624,-5.7645,13.2624,49.4901
sweep_01.s2p,4440078000.0,-13.0197,-7.2536,13.0197,48.3368
sweep_01.s2p,4470076500.0,-13.6904,-5.9786,13.6904,42.5271
sweep_01.s2p,4500075000.0,-14.1482,-5.2291,14.1482,39.0466
sweep_01.s2p,4530073500.0,-13.7926,-6.5217,13.7926,40.2787
sweep_01.s2p,4560072000.0,-14.1466,-6.0375,14.1466,41.9757
