lane_id,channel,rate_gbps,linked,eye_csv,eye_area_ratio,zero_error_fraction,eye_height_mv,eye_width_ui,eye_png,margin_csv,link_margin_mv,error_onset_mv,num_margin_points,num_margin_runs
fwd_3g,forward,3.0,True,eye_fwd_3g.csv,0.223633,0.211426,196.875,0.84375,eye_fwd_3g.png,margin_fwd_3g.csv,200.0,190.0,37,3
fwd_6g,forward,6.0,True,eye_fwd_6g.csv,0.148438,0.12085,177.188,0.8125,eye_fwd_6g.png,margin_fwd_6g.csv,100.0,90.0,34,3
rev_187m,reverse,0.1875,True,eye_rev_187m.csv,0.109375,0.062744,68.906,2.0,eye_rev_187m.png,margin_rev_187m.csv,90.0,80.0,18,3
