phase,vth,polarity,hits,errors
0,0,0,16424,0
0,0,1,16355,0
0,2,0,16410,0
0,2,1,16313,0
0,4,0,16401,1
0,4,1,16224,0
0,6,0,16396,0
0,6,1,16352,0
0,8,0,16473,4
0,8,1,16365,13
0,10,0,16471,65
0,10,1,16337,120
0,12,0,16413,406
0,12,1,16410,514
0,14,0,16349,1370
0,14,1,16405,1843
0,16,0,16416,3220
0,16,1,16396,3863
0,18,0,16464,5524
0,18,1,16485,5948
0,20,0,16488,7286
0,20,1,16322,7312
0,22,0,16001,8007
0,22,1,16360,7838
0,24,0,16042,8001
0,24,1,16433,7970
0,26,0,16056,8055
0,26,1,16398,8059
0,28,0,15968,8463
0,28,1,16408,8369
0,30,0,15955,9763
0,30,1,16288,9921
0,32,0,15967,12227
0,32,1,16303,12785
0,34,0,16001,14646
0,34,1,16397,15414
0,36,0,15929,15646
0,36,1,16431,16309
0,38,0,15978,15950
0,38,1,16331,16322
0,40,0,15995,15995
0,40,1,16294,16294
0,42,0,15885,15885
0,42,1,16298,16298
0,44,0,16093,16093
0,44,1,16285,16285
0,46,0,15937,15937
0,46,1,16310,16310
0,48,0,16054,16054
0,48,1,16324,16324
0,50,0,16001,16001
0,50,1,16273,16273
0,52,0,16115,16115
0,52,1,16405,16405
0,54,0,16035,16035
0,54,1,16339,16339
0,56,0,16013,16013
0,56,1,16399,16399
0,58,0,15917,15917
0,58,1,16389,16389
0,60,0,16042,16042
0,60,1,16350,16350
0,62,0,16012,16012
0,62,1,16384,16384
2,0,0,16521,0
2,0,1,16420,0
2,2,0,16292,0
2,2,1,16267,0
2,4,0,16448,0
2,4,1,16493,0
2,6,0,16445,0
2,6,1,16359,0
2,8,0,16487,2
2,8,1,16368,15
2,10,0,16392,61
2,10,1,16337,108
2,12,0,16408,401
2,12,1,16232,577
2,14,0,16417,1424
2,14,1,16493,1849
2,16,0,16451,3361
2,16,1,16365,3894
2,18,0,16383,5516
2,18,1,16251,5769
2,20,0,16451,7295
2,20,1,16284,7223
2,22,0,15993,7882
2,22,1,16387,7860
2,24,0,16049,7932
2,24,1,16383,7965
2,26,0,15947,8035
2,26,1,16411,8052
2,28,0,15972,8310
2,28,1,16317,8254
2,30,0,16011,9824
2,30,1,16264,9869
2,32,0,15978,12493
2,32,1,16436,12923
2,34,0,16016,14785
2,34,1,16427,15438
2,36,0,16029,15742
2,36,1,16382,16251
2,38,0,15976,15961
2,38,1,16381,16378
2,40,0,15881,15880
2,40,1,16307,16307
2,42,0,15949,15949
2,42,1,16380,16380
2,44,0,15912,15912
2,44,1,16465,16465
2,46,0,15996,15996
2,46,1,16421,16421
2,48,0,15944,15944
2,48,1,16286,16286
2,50,0,15943,15943
2,50,1,16370,16370
2,52,0,16007,16007
2,52,1,16453,16453
2,54,0,15900,15900
2,54,1,16264,16264
2,56,0,15943,15943
2,56,1,16402,16402
2,58,0,15979,15979
2,58,1,16349,16349
2,60,0,15964,15964
2,60,1,16350,16350
2,62,0,16028,16028
2,62,1,16397,16397
4,0,0,16565,0
4,0,1,16304,0
4,2,0,16402,0
4,2,1,16306,0
4,4,0,16421,0
4,4,1,16421,0
4,6,0,16359,0
4,6,1,16361,0
4,8,0,16513,4
4,8,1,16368,9
4,10,0,16517,63
4,10,1,16319,104
4,12,0,16463,420
4,12,1,16246,539
4,14,0,16411,1473
4,14,1,16334,1849
4,16,0,16363,3214
4,16,1,16300,3815
4,18,0,16499,5551
4,18,1,16340,5927
4,20,0,16382,7162
4,20,1,16498,7333
4,22,0,15978,8013
4,22,1,16275,7890
4,24,0,15922,7899
4,24,1,16528,8003
4,26,0,16002,8024
4,26,1,16278,7953
4,28,0,16037,8467
4,28,1,16384,8315
4,30,0,16052,9988
4,30,1,16324,9723
4,32,0,15922,12198
4,32,1,16375,12805
4,34,0,15999,14637
4,34,1,16199,15166
4,36,0,16045,15808
4,36,1,16393,16276
4,38,0,15998,15979
4,38,1,16326,16322
4,40,0,15956,15956
4,40,1,16442,16442
4,42,0,15922,15922
4,42,1,16302,16302
4,44,0,15983,15983
4,44,1,16374,16374
4,46,0,15822,15822
4,46,1,16433,16433
4,48,0,15901,15901
4,48,1,16289,16289
4,50,0,15897,15897
4,50,1,16317,16317
4,52,0,15956,15956
4,52,1,16373,16373
4,54,0,16007,16007
4,54,1,16342,16342
4,56,0,16143,16143
4,56,1,16394,16394
4,58,0,16058,16058
4,58,1,16283,16283
4,60,0,15937,15937
4,60,1,16369,16369
4,62,0,16009,16009
4,62,1,16401,16401
6,0,0,16397,0
6,0,1,16377,0
6,2,0,16265,0
6,2,1,16451,0
6,4,0,16369,0
6,4,1,16313,0
6,6,0,16341,1
6,6,1,16326,0
6,8,0,16493,7
6,8,1,16404,16
6,10,0,16398,83
6,10,1,16362,102
6,12,0,16479,420
6,12,1,16361,582
6,14,0,16450,1360
6,14,1,16345,1746
6,16,0,16258,3152
6,16,1,16361,3741
6,18,0,16412,5427
6,18,1,16359,5830
6,20,0,16415,7221
6,20,1,16492,7355
6,22,0,16001,7992
6,22,1,16253,7750
6,24,0,15993,7971
6,24,1,16395,8027
6,26,0,16017,8083
6,26,1,16400,7966
6,28,0,15998,8312
6,28,1,16304,8333
6,30,0,15961,9846
6,30,1,16350,9812
6,32,0,15943,12226
6,32,1,16301,12738
6,34,0,16036,14709
6,34,1,16338,15390
6,36,0,16008,15751
6,36,1,16357,16221
6,38,0,15970,15958
6,38,1,16374,16369
6,40,0,15963,15963
6,40,1,16293,16293
6,42,0,15986,15986
6,42,1,16368,16368
6,44,0,15911,15911
6,44,1,16406,16406
6,46,0,16015,16015
6,46,1,16438,16438
6,48,0,15948,15948
6,48,1,16330,16330
6,50,0,16012,16012
6,50,1,16255,16255
6,52,0,15942,15942
6,52,1,16455,16455
6,54,0,15911,15911
6,54,1,16327,16327
6,56,0,15989,15989
6,56,1,16387,16387
6,58,0,15995,15995
6,58,1,16360,16360
6,60,0,15908,15908
6,60,1,16325,16325
6,62,0,15963,15963
6,62,1,16397,16397
8,0,0,16473,0
8,0,1,16395,0
8,2,0,16406,0
8,2,1,16247,0
8,4,0,16366,0
8,4,1,16356,0
8,6,0,16410,0
8,6,1,16413,2
8,8,0,16416,4
8,8,1,16328,10
8,10,0,16359,64
8,10,1,16396,118
8,12,0,16325,419
8,12,1,16279,560
8,14,0,16467,1389
8,14,1,16396,1708
8,16,0,16407,3289
8,16,1,16318,3573
8,18,0,16495,5561
8,18,1,16273,5939
8,20,0,16378,7272
8,20,1,16434,7209
8,22,0,15998,8009
8,22,1,16362,7826
8,24,0,15935,7897
8,24,1,16364,7940
8,26,0,16002,8040
8,26,1,16443,7961
8,28,0,15976,8279
8,28,1,16386,8270
8,30,0,15919,9757
8,30,1,16412,9873
8,32,0,16026,12642
8,32,1,16369,12768
8,34,0,15986,14734
8,34,1,16403,15394
8,36,0,15961,15660
8,36,1,16320,16205
8,38,0,15999,15983
8,38,1,16328,16321
8,40,0,15962,15962
8,40,1,16418,16418
8,42,0,15971,15971
8,42,1,16188,16188
8,44,0,16026,16026
8,44,1,16414,16414
8,46,0,16051,16051
8,46,1,16388,16388
8,48,0,16002,16002
8,48,1,16310,16310
8,50,0,16030,16030
8,50,1,16289,16289
8,52,0,15977,15977
8,52,1,16367,16367
8,54,0,16034,16034
8,54,1,16343,16343
8,56,0,15953,15953
8,56,1,16430,16430
8,58,0,15865,15865
8,58,1,16434,16434
8,60,0,16032,16032
8,60,1,16376,16376
8,62,0,15962,15962
8,62,1,16321,16321
10,0,0,16277,0
10,0,1,16392,0
10,2,0,16542,0
10,2,1,16390,0
10,4,0,16331,0
10,4,1,16300,0
10,6,0,16435,0
10,6,1,16401,1
10,8,0,16469,8
10,8,1,16465,8
10,10,0,16407,73
10,10,1,16428,116
10,12,0,16503,399
10,12,1,16371,546
10,14,0,16359,1371
10,14,1,16418,1720
10,16,0,16413,3482
10,16,1,16345,3815
10,18,0,16450,5544
10,18,1,16405,5981
10,20,0,16307,7269
10,20,1,16374,7267
10,22,0,15955,7896
10,22,1,16328,7814
10,24,0,16019,7952
10,24,1,16261,7910
10,26,0,16026,8060
10,26,1,16311,8071
10,28,0,16003,8356
10,28,1,16516,8346
10,30,0,15929,9880
10,30,1,16391,9707
10,32,0,16002,12559
10,32,1,16289,12837
10,34,0,16012,14793
10,34,1,16450,15419
10,36,0,16072,15812
10,36,1,16487,16382
10,38,0,15999,15980
10,38,1,16406,16399
10,40,0,15936,15936
10,40,1,16349,16349
10,42,0,15911,15911
10,42,1,16300,16300
10,44,0,15882,15882
10,44,1,16245,16245
10,46,0,15943,15943
10,46,1,16377,16377
10,48,0,15921,15921
10,48,1,16407,16407
10,50,0,16042,16042
