phase,vth,polarity,hits,errors
0,0,0,16446,14
0,0,1,16261,17
0,2,0,16478,93
0,2,1,16394,140
0,4,0,16517,566
0,4,1,16335,665
0,6,0,16410,1782
0,6,1,16318,2148
0,8,0,16449,4137
0,8,1,16353,4457
0,10,0,16522,6255
0,10,1,16347,6735
0,12,0,16334,7648
0,12,1,16321,7888
0,14,0,16223,8254
0,14,1,16350,8267
0,16,0,16229,8267
0,16,1,16307,8322
0,18,0,16229,8195
0,18,1,16198,8248
0,20,0,16302,8334
0,20,1,16319,8223
0,22,0,16245,8327
0,22,1,16224,8182
0,24,0,16237,9048
0,24,1,16357,8860
0,26,0,16177,11740
0,26,1,16351,11690
0,28,0,16216,14752
0,28,1,16297,15328
0,30,0,16234,16080
0,30,1,16259,16214
0,32,0,16280,16278
0,32,1,16244,16244
0,34,0,16239,16239
0,34,1,16306,16306
0,36,0,16271,16271
0,36,1,16232,16232
0,38,0,16262,16262
0,38,1,16225,16225
0,40,0,16272,16272
0,40,1,16412,16412
0,42,0,16300,16300
0,42,1,16363,16363
0,44,0,16258,16258
0,44,1,16287,16287
0,46,0,16307,16307
0,46,1,16287,16287
0,48,0,16164,16164
0,48,1,16330,16330
0,50,0,16145,16145
0,50,1,16331,16331
0,52,0,16318,16318
0,52,1,16216,16216
0,54,0,16285,16285
0,54,1,16411,16411
0,56,0,16278,16278
0,56,1,16343,16343
0,58,0,16328,16328
0,58,1,16443,16443
0,60,0,16141,16141
0,60,1,16313,16313
0,62,0,16266,16266
0,62,1,16414,16414
2,0,0,16437,279
2,0,1,16278,322
2,2,0,16475,1023
2,2,1,16321,1224
2,4,0,16446,2847
2,4,1,16289,3112
2,6,0,16385,5048
2,6,1,16301,5453
2,8,0,16577,6968
2,8,1,16389,7180
2,10,0,16468,8051
2,10,1,16258,8026
2,12,0,16259,8240
2,12,1,16394,8289
2,14,0,16322,8246
2,14,1,16237,8304
2,16,0,16237,8299
2,16,1,16284,8243
2,18,0,16196,8256
2,18,1,16303,8311
2,20,0,16340,8339
2,20,1,16300,8241
2,22,0,16180,8261
2,22,1,16253,8303
2,24,0,16282,9074
2,24,1,16232,8909
2,26,0,16519,11771
2,26,1,16228,11824
2,28,0,16158,14645
2,28,1,16242,15349
2,30,0,16280,16133
2,30,1,16340,16306
2,32,0,16208,16202
2,32,1,16263,16263
2,34,0,16301,16301
2,34,1,16281,16281
2,36,0,16290,16290
2,36,1,16277,16277
2,38,0,16363,16363
2,38,1,16291,16291
2,40,0,16304,16304
2,40,1,16306,16306
2,42,0,16112,16112
2,42,1,16338,16338
2,44,0,16226,16226
2,44,1,16383,16383
2,46,0,16227,16227
2,46,1,16251,16251
2,48,0,16309,16309
2,48,1,16431,16431
2,50,0,16226,16226
2,50,1,16359,16359
2,52,0,16362,16362
2,52,1,16412,16412
2,54,0,16162,16162
2,54,1,16282,16282
2,56,0,16199,16199
2,56,1,16385,16385
2,58,0,16194,16194
2,58,1,16240,16240
2,60,0,16285,16285
2,60,1,16266,16266
2,62,0,16107,16107
2,62,1,16340,16340
4,0,0,16465,2042
4,0,1,16281,2223
4,2,0,16413,4143
4,2,1,16237,4320
4,4,0,16507,6254
4,4,1,16196,6388
4,6,0,16441,7677
4,6,1,16394,7733
4,8,0,16407,8279
4,8,1,16306,8163
4,10,0,16315,8274
4,10,1,16367,8303
4,12,0,16307,8258
4,12,1,16229,8180
4,14,0,16352,8331
4,14,1,16302,8258
4,16,0,16295,8270
4,16,1,16342,8248
4,18,0,16116,8218
4,18,1,16287,8285
4,20,0,16252,8282
4,20,1,16348,8261
4,22,0,16171,8306
4,22,1,16273,8309
4,24,0,16278,9196
4,24,1,16608,9029
4,26,0,16143,11720
4,26,1,16311,11576
4,28,0,16296,14617
4,28,1,16337,15135
4,30,0,16233,16019
4,30,1,16385,16305
4,32,0,16262,16253
4,32,1,16338,16338
4,34,0,16212,16212
4,34,1,16276,16276
4,36,0,16366,16366
4,36,1,16308,16308
4,38,0,16198,16198
4,38,1,16357,16357
4,40,0,16318,16318
4,40,1,16286,16286
4,42,0,16312,16312
4,42,1,16370,16370
4,44,0,16297,16297
4,44,1,16291,16291
4,46,0,16193,16193
4,46,1,16323,16323
4,48,0,16171,16171
4,48,1,16355,16355
4,50,0,16327,16327
4,50,1,16402,16402
4,52,0,16298,16298
4,52,1,16347,16347
4,54,0,16334,16334
4,54,1,16268,16268
4,56,0,16263,16263
4,56,1,16190,16190
4,58,0,16218,16218
4,58,1,16243,16243
4,60,0,16245,16245
4,60,1,16327,16327
4,62,0,16247,16247
4,62,1,16342,16342
6,0,0,16228,3141
6,0,1,16505,3430
6,2,0,16341,5448
6,2,1,16631,5857
6,4,0,16302,6998
6,4,1,16511,7432
6,6,0,16173,7837
6,6,1,16503,8179
6,8,0,16154,8123
6,8,1,16175,8209
6,10,0,16170,8243
6,10,1,16336,8260
6,12,0,16270,8312
6,12,1,16312,8229
6,14,0,16342,8297
6,14,1,16357,8287
6,16,0,16192,8303
6,16,1,16287,8282
6,18,0,16201,8278
6,18,1,16293,8173
6,20,0,16083,8158
6,20,1,16297,8287
6,22,0,16284,8382
6,22,1,16333,8306
6,24,0,16267,9187
6,24,1,16344,8961
6,26,0,16245,11607
6,26,1,16401,11545
6,28,0,16370,14812
6,28,1,16321,15062
6,30,0,16163,15982
6,30,1,16248,16164
6,32,0,16368,16358
6,32,1,16324,16323
6,34,0,16415,16415
6,34,1,16292,16292
6,36,0,16248,16248
6,36,1,16260,16260
6,38,0,16127,16127
6,38,1,16369,16369
6,40,0,16230,16230
6,40,1,16242,16242
6,42,0,16279,16279
6,42,1,16301,16301
6,44,0,16285,16285
6,44,1,16262,16262
6,46,0,16177,16177
6,46,1,16294,16294
6,48,0,16238,16238
6,48,1,16407,16407
6,50,0,16328,16328
6,50,1,16387,16387
6,52,0,16379,16379
6,52,1,16283,16283
6,54,0,16140,16140
6,54,1,16395,16395
6,56,0,16223,16223
6,56,1,16341,16341
6,58,0,16191,16191
6,58,1,16226,16226
6,60,0,16223,16223
6,60,1,16338,16338
6,62,0,16307,16307
6,62,1,16293,16293
8,0,0,16245,363
8,0,1,16598,480
8,2,0,16400,1375
8,2,1,16583,1491
8,4,0,16244,3242
8,4,1,16583,3396
8,6,0,16258,5383
8,6,1,16506,5707
8,8,0,16253,7089
8,8,1,16547,7315
8,10,0,16318,7902
8,10,1,16522,8144
8,12,0,16178,8193
8,12,1,16256,8266
8,14,0,16303,8258
8,14,1,16289,8286
8,16,0,16260,8327
8,16,1,16339,8269
8,18,0,16260,8270
8,18,1,16217,8228
8,20,0,16287,8267
8,20,1,16277,8224
8,22,0,16384,8469
8,22,1,16329,8281
8,24,0,16409,9424
8,24,1,16354,9086
8,26,0,16251,11946
8,26,1,16318,11704
8,28,0,16231,14555
8,28,1,16330,14988
8,30,0,16280,16100
8,30,1,16368,16281
8,32,0,16200,16197
8,32,1,16321,16321
8,34,0,16244,16244
8,34,1,16325,16325
8,36,0,16347,16347
8,36,1,16282,16282
8,38,0,16232,16232
8,38,1,16291,16291
8,40,0,16252,16252
8,40,1,16283,16283
8,42,0,16322,16322
8,42,1,16295,16295
8,44,0,16238,16238
8,44,1,16259,16259
8,46,0,16250,16250
8,46,1,16292,16292
8,48,0,16246,16246
8,48,1,16284,16284
8,50,0,16207,16207
8,50,1,16326,16326
8,52,0,16160,16160
8,52,1,16361,16361
8,54,0,16298,16298
8,54,1,16273,16273
8,56,0,16223,16223
8,56,1,16246,16246
8,58,0,16202,16202
8,58,1,16227,16227
8,60,0,16345,16345
8,60,1,16355,16355
8,62,0,16184,16184
